subject	timepoint	sample	input	pre_post_rec
C001	2021-06	C001-2021-06	m6anet/C001-2021-06.tsv.gz	0
C001	2021-08	C001-2021-08	m6anet/C001-2021-08.tsv.gz	0
C001	2021-09-1pre	C001-2021-09-1pre	m6anet/C001-2021-09-1pre.tsv.gz	0
C001	2021-09-2post	C001-2021-09-2post	m6anet/C001-2021-09-2post.tsv.gz	1
C001	2021-11	C001-2021-11	m6anet/C001-2021-11.tsv.gz	2
C001	2021-12	C001-2021-12	m6anet/C001-2021-12.tsv.gz	2
C001	2022-03	C001-2022-03	m6anet/C001-2022-03.tsv.gz	2
C002	2021-06	C002-2021-06	m6anet/C002-2021-06.tsv.gz	0
C002	2021-08	C002-2021-08	m6anet/C002-2021-08.tsv.gz	0
C002	2021-09-1pre	C002-2021-09-1pre	m6anet/C002-2021-09-1pre.tsv.gz	0
C002	2021-09-2post	C002-2021-09-2post	m6anet/C002-2021-09-2post.tsv.gz	1
C002	2021-11	C002-2021-11	m6anet/C002-2021-11.tsv.gz	2
C002	2021-12	C002-2021-12	m6anet/C002-2021-12.tsv.gz	2
C002	2022-03	C002-2022-03	m6anet/C002-2022-03.tsv.gz	2
C003	2021-06	C003-2021-06	m6anet/C003-2021-06.tsv.gz	0
C003	2021-08	C003-2021-08	m6anet/C003-2021-08.tsv.gz	0
C003	2021-09-1pre	C003-2021-09-1pre	m6anet/C003-2021-09-1pre.tsv.gz	0
C003	2021-09-2post	C003-2021-09-2post	m6anet/C003-2021-09-2post.tsv.gz	1
C003	2021-11	C003-2021-11	m6anet/C003-2021-11.tsv.gz	2
C003	2021-12	C003-2021-12	m6anet/C003-2021-12.tsv.gz	2
C003	2022-03	C003-2022-03	m6anet/C003-2022-03.tsv.gz	2
C004	2021-06	C004-2021-06	m6anet/C004-2021-06.tsv.gz	0
C004	2021-08	C004-2021-08	m6anet/C004-2021-08.tsv.gz	0
C004	2021-09-1pre	C004-2021-09-1pre	m6anet/C004-2021-09-1pre.tsv.gz	0
C004	2021-09-2post	C004-2021-09-2post	m6anet/C004-2021-09-2post.tsv.gz	1
C004	2021-11	C004-2021-11	m6anet/C004-2021-11.tsv.gz	2
C004	2021-12	C004-2021-12	m6anet/C004-2021-12.tsv.gz	2
C004	2022-03	C004-2022-03	m6anet/C004-2022-03.tsv.gz	2
