Sample,Condition
RR23_R-TA_VIV_V8,Vivarium
RR23_R-TA_FLT_F9,Flight
RR23_R-TA_VIV_V2,Vivarium
RR23_R-TA_GC_G6,GC
RR23_R-TA_FLT_F7,Flight
RR23_R-TA_VIV_V3,Vivarium
RR23_R-TA_FLT_F6,Flight
RR23_R-TA_GC_G7,GC
RR23_R-TA_FLT_F1,Flight
RR23_R-TA_VIV_V7,Vivarium
RR23_R-TA_VIV_V9,Vivarium
RR23_R-TA_FLT_F5,Flight
RR23_R-TA_GC_G5,GC
RR23_R-TA_GC_G3,GC
RR23_R-TA_GC_G4,GC
RR23_R-TA_VIV_V1,Vivarium
RR23_R-TA_VIV_V5,Vivarium
RR23_R-TA_FLT_F2,Flight
RR23_R-TA_GC_G2,GC
RR23_R-TA_FLT_F8,Flight
RR23_R-TA_GC_G8,GC
RR23_R-TA_GC_G9,GC
RR23_R-TA_VIV_V4,Vivarium
RR23_R-TA_FLT_F4,Flight
RR23_R-TA_FLT_F3,Flight
RR23_R-TA_VIV_V6,Vivarium
RR23_R-TA_GC_G1,GC
