gene_id,RR23_R-TA_VIV_V8,RR23_R-TA_FLT_F9,RR23_R-TA_VIV_V2,RR23_R-TA_GC_G6,RR23_R-TA_FLT_F7,RR23_R-TA_VIV_V3,RR23_R-TA_FLT_F6,RR23_R-TA_GC_G7,RR23_R-TA_FLT_F1,RR23_R-TA_VIV_V7,RR23_R-TA_VIV_V9,RR23_R-TA_FLT_F5,RR23_R-TA_GC_G5,RR23_R-TA_GC_G3,RR23_R-TA_GC_G4,RR23_R-TA_VIV_V1,RR23_R-TA_VIV_V5,RR23_R-TA_FLT_F2,RR23_R-TA_GC_G2,RR23_R-TA_FLT_F8,RR23_R-TA_GC_G8,RR23_R-TA_GC_G9,RR23_R-TA_VIV_V4,RR23_R-TA_FLT_F4,RR23_R-TA_FLT_F3,RR23_R-TA_VIV_V6,RR23_R-TA_GC_G1
ENSMUSG00000000001,6,2,0,6,5,5,4,9,3,4,1,2,6,1,12,18,3,4,6,3,4,1,1,5,7,5,13
ENSMUSG00000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,1,3,0,1,1,0,0,0,0,0,0,1,1,2,1,6,0,1,0,1,0,0,0,2,0,0,0
ENSMUSG00000000031,110,42,95,62,36,223,78,79,74,74,118,70,80,66,113,31,190,45,56,55,65,56,153,86,148,110,169
ENSMUSG00000000037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000000049,0,0,1,3,0,0,1,4,0,1,3,0,0,1,2,0,0,0,0,0,1,0,0,3,1,0,4
ENSMUSG00000000056,53,23,32,48,20,92,35,57,31,26,46,46,36,35,74,10,47,16,23,33,50,32,33,67,53,55,101
ENSMUSG00000000058,12,6,4,12,6,15,8,16,3,3,5,17,6,5,8,16,13,3,3,7,13,2,6,7,15,9,23
ENSMUSG00000000078,16,27,8,18,14,31,20,27,19,7,16,38,15,12,46,19,7,13,10,26,16,17,6,62,24,18,41
ENSMUSG00000000085,3,5,6,5,2,10,6,5,3,1,5,2,5,0,7,6,7,4,0,5,3,3,7,10,9,4,4
ENSMUSG00000000088,79,22,40,71,32,127,70,110,41,44,74,75,48,47,103,8,74,37,26,37,81,17,43,126,139,98,158
ENSMUSG00000000093,1,0,2,2,1,0,0,1,3,1,1,4,1,0,0,0,1,2,1,0,0,0,1,2,1,2,1
ENSMUSG00000000094,0,0,0,3,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1
ENSMUSG00000000103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,0,1,0,0,0,1.003,0,0.999,0,1.002,1.009,0,2,0,0,0,0,0,0,2.005,1,1.001,0,0,0,1.001,1.003
ENSMUSG00000000125,1,1,1,0,0,0,1,1,2,1,3,3,0,1,0,2,3,0,0,0,2,1,4,1,2,0,0
ENSMUSG00000000126,1,0,6,5,0,6,1,8,3,2,3,4,1,2,5,0,5,2,0,0,1,4,6,8,8,10,2
ENSMUSG00000000127,6,2,4,7,4,6,4,5,6,10,8,3,4,1,7,13,8,2,7,1,7,2,3,4,11,11,11
ENSMUSG00000000131,5,8,7.001,5,2,10.999,5,6,6,2,3,8,4,1,8,10.999,5,4,1,6,1,3,4,13,3,9,6
ENSMUSG00000000134,4,0,2,1,2,7,4,4,2,4,4,1,2,3,7,11,3,4,3,1,5,4,1,7,5,6,11
ENSMUSG00000000142,13,1,0,0,3,2,6,1,2,2,10,3,1,0,4,4,2,2,3,1,4,2,1,4,1,2,6
ENSMUSG00000000148,0,1,4,0,1,1,0,1,2,2,0,0,2,2,3,4,1,0,0,2,1,0,0,0,5,0,1
ENSMUSG00000000149,6,3,5,6,2,7,8,9,1,0,3,9,10,4,16,4,3,5,3,3,4,2,8,9,4,6,10
ENSMUSG00000000154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000157,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0
ENSMUSG00000000159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000167,1,0,0,0,0,1,1,3,1,0,3,1,1,1,0,3,1.251,0,0,0,0,1,0,0,1,0,2
ENSMUSG00000000168,93,25,57,57,38,105,94,90,34,62,61,87,40,52,98,19,88,33,35,37,75,31,70,105,125,122,141
ENSMUSG00000000171,84,31,28,56,30,94,55,76,40,37,53,66,40,32,106,9,67,22,28,22,39,18,41,95,105,110,132
ENSMUSG00000000182,0,3,0,1,0,5,0,4,0,1,3,1,0,0,0,4,1,0,1,0,1,7,0,0,1,0,1
ENSMUSG00000000183,0,0,0,1,0,0,2,2,0,0,3.001,1,1,3,3.001,1,0,0,1,3.001,1,1,2,0,0,2,3
ENSMUSG00000000184,5,12,8,7,3,11,10,8,7,10,11,4,9,5,8,62,6,9,6,12,12,7,11,12,5,12,10
ENSMUSG00000000194,28.734,32.261,24.731,30.705,27.36,37.735,22.079,28.147,29.467,23.305,20.008,32.608,10.667,20.28,38.691,41.506,38.087,21.915,30.384,21.83,32.342,19.221,32.053,40.778,22.462,28.913,50.666
ENSMUSG00000000197,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0
ENSMUSG00000000202,1,0,1,3,0,2,0,0,0,2,5,1,0,0,1,1,0,0,1,2,2,1,1,1,1,2,0
ENSMUSG00000000204,0,0,0,3,0,0,0,1,2,0,0,0,1,0,2,5,0,0,1,1.107,0,1,0,3,0,0,0
ENSMUSG00000000214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000223,0,1.001,1,4.036,0,4,2,1.001,0.786,1.936,1,1,0,0,2.012,3.044,2,1,0,1,1.004,1.005,5.001,3.015,3.012,2.011,2.548
ENSMUSG00000000244,0,1,0,1,0,3,11,0,0,0,4,1,0,1,5,12,3,0,3,0,2,0,6,0,1,0,0
ENSMUSG00000000247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000000248,6,9,4.001,7,4,8,6.079,13,1,10,7,9,8,4,14,9,14,6,2,12,9.016,14.001,6,8,3,12,6.992
ENSMUSG00000000253,41,9,19,30,18,49,24,31,28,19,44,28,26,19,47,9,48,19,33,25,43,17,24,60,57,40,66
ENSMUSG00000000263,0,3,0,1,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
ENSMUSG00000000266,1,2,1,8,3,3,4,5,0,0,2,1,0,1,7.319,3.096,3,0,0,4,3,0,2,9,3,4,5.15
ENSMUSG00000000275,4,4,12.414,1,1,6.185,6.416,5,1,0,0,7.066,0,2.011,5,7.044,2.005,1.002,4,5,8.005,0,4.484,5,7,8.014,8.016
ENSMUSG00000000276,5.013,7.848,7.443,9.683,6.865,13.767,7.98,8.15,5.817,6.016,5.645,6.196,4.699,10.031,9.289,118.138,12.06,3.332,4.439,6.001,10.022,4.888,4.021,2,8.005,10.48,11.028
ENSMUSG00000000278,3,1,6,2,2,5,4,5,1,1,2,1,7,3,3,21,2,0,0,3,2,2,1,5,2,3,7
ENSMUSG00000000282,2,2,2,4,2,2,5,3,3,1,5,3,4,3,8,3,1,1,4,3,5,3,3,2,1,8,8
ENSMUSG00000000290,1,0,1,0,1,2,1,2,0,1,2,3,0,2,3,8,2,0,0,0,1,0,0,7,0,1,1
ENSMUSG00000000295,13,10,3,9,2,7,7,2,3,9,7,11,0,1,5,8,11,2,5,9,18,4,8,7,10,9,9
ENSMUSG00000000296,7,2,3,9,4,10,6,11,7,5,3,5,5,3,13,0,3,0,1,6,3,2,6,6,11,6,15
ENSMUSG00000000301,0,1,0,0,1,0,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
ENSMUSG00000000303,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2
ENSMUSG00000000305,19,5,3,13,6,28,2,3,10,10,16,12,20.001,25,13,3,22,6,6,17,25,14,6,10,8,13,20
ENSMUSG00000000308,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000317,0,1,0,1,2,3,0,0,1,0,3,0,0,0,0,9,2,2,4,4,0,5,1,0,1,0,2
ENSMUSG00000000318,1,0,0,1,0,1,1.228,1,0,3,0,3,0,0,0,0,2,3,1,2,1,1,1,2,0,2,1
ENSMUSG00000000320,0,0,2,1,2.027,0,4.063,3.001,0,3.036,7,1.007,0,3,2.025,4.97,2,1,0,4,3,0,5,0,1,0,1
ENSMUSG00000000325,27,24,40,32,38,33,22,30,25,28,30,44,30,26,31,91,35,36,23,26,27,27,39,27,25,26,26.001
ENSMUSG00000000326,44.054,46.803,51.144,44.036,33.89,57.155,47.433,60.531,40.571,36.587,47.601,58.302,41.685,28.476,48.049,122.844,41.293,30.569,32.283,48.904,47.82,54.336,52.301,48.563,40.772,58.85,65.077
ENSMUSG00000000339,5,3,1,12,1,18,6,5,3,7,3,5,2,4,7,9,7,7,3,6,11,1,5,20,15,5,15
