gene_id,DRR252648,DRR252650,DRR252649,DRR255419,DRR252654,DRR255415,DRR255421,DRR252653,DRR252646,DRR255416,DRR255418,DRR255423,DRR255425,DRR252651,DRR252652,DRR252647,DRR255420,DRR255422,DRR255424,DRR255414,DRR255417
ENSMUSG00000000001,117,256,244,337,207,326,220,415,88,440,332,224,208,239,279,326,308,262,200,425,456
ENSMUSG00000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,11,29,17,11,8,18,15,18,22,12,13,23,21,14,27,31,24,22,17,33,25
ENSMUSG00000000031,2899,2707,1499,1608,1429,2330,3640,170,2619,2248,1609,3239,3311,3074,1339,1958,2777,4460,3405,1648,2428
ENSMUSG00000000037,5,0,0,5,7,3,0,29,5,3,5,5,0,9,6,5,5,2,6,6,1
ENSMUSG00000000049,0,1,4,5,6,0,1,0,0,0,3,5,0,4,8,0,4,0,2,1,2
ENSMUSG00000000056,437,246,116,256,398,291,637,197,692,205,330,740,694,300,364,547,493,609.001,704,385,478.999
ENSMUSG00000000058,162,181,141,392,227,374,342,319,370,385,401.001,342,435,301,435,268.999,555,517,343,522,431
ENSMUSG00000000078,368,794,761,1004,448,1370,702,783,662,1250,752,690,406,758,689,1064,1097,681,540,1208,2160
ENSMUSG00000000085,201.055,192.123,169.791,266.851,180.741,307.398,309.245,243.46,309.293,280.843,252.913,328.412,352.772,193.709,242.818,268.611,268.929,309.009,324.118,299.603,355.13
ENSMUSG00000000088,822.972,1307,871,1702,748,1452,2271.952,74,1258,1347,1511,2264,2331.907,1269,660,955,1853,2285.959,2831,1600,2174.959
ENSMUSG00000000093,113,92,77,47,102,42,36,127,126,52,48,65,71,186,123,116,62,57,76,78,66
ENSMUSG00000000094,20.003,27,21,20.009,41,12.033,13.185,118.099,0,14,34.016,29.084,19,14,21,34,19.065,14.001,17.005,31.085,27.002
ENSMUSG00000000103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,7.145,3.071,8.298,7.465,17.567,4.211,1.031,4.101,0,4.239,1.036,2.1,5.281,13.421,24.675,11.419,3.139,4.233,3.747,14.895,4.234
ENSMUSG00000000125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000126,141,294,238,360,136,181,76,403,47,189,243,111,113,247,91,267,67,99,117,185,215
ENSMUSG00000000127,110,100,109,153,146,151,156,171,90,124,138,160,141,124,158,198,161,183,166,153,163
ENSMUSG00000000131,223,257.999,335,430.001,280,400.999,441.001,390,319.999,399.001,398.002,470,475,334,330,423,427.998,460,459,489.999,460
ENSMUSG00000000134,125,181.007,153.002,130.001,114,144.001,118.001,302.001,110.999,169.001,113.001,106.39,103.999,149.999,198.999,280.288,130,149.937,94,163.987,135
ENSMUSG00000000142,106.001,176.999,170.999,147,160,150,135,277.999,132,196.999,137,156,164,137.999,179.999,185,119,160.999,167.999,207,197
ENSMUSG00000000148,55,96,77,50,75,53.999,62.999,174,82,53.001,59,84,83,102,129,98,66,67.001,62.999,97,55
ENSMUSG00000000149,274,769,496,417,458,357,296,532,498,369,336,322,353,651,482,643,261,360,323,484,433
ENSMUSG00000000154,1,1,1,3,18,4,5,10,5,2,0,7,2,3,5,14,4,5,2,5,0
ENSMUSG00000000157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000159,0,0,1,0,0,1,0,0,0,1,0,0,0,3,0,0,1,1,0,0,0
ENSMUSG00000000167,8,1,9.307,5.886,4,16.418,10.382,17.899,0,9.749,9.868,4.265,6.247,2.206,12.034,21.067,3.537,10.852,6.59,14.985,15.398
ENSMUSG00000000168,838,1544.999,1303,1876,846,1447.999,1489,294.001,1266,1480.999,1493,1505,1590.999,1675,646,895,1232,1661,1912,1737,1898
ENSMUSG00000000171,787,1085,764,1381,638,1070,1587,156,871,1073,1144,1381,1502,949,536,728,1219,1677,1833,1239,1620
ENSMUSG00000000182,0,0,2.999,3,0,2.758,1.275,3,1,3.437,1.012,0.973,2.984,0,0,0,3,3.692,3.358,2.929,4.961
