"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","PF4",0,0.269196542720839,0.183,0.002,0
"2","PPBP",0,0.417471313142134,0.263,0.005,0
"3","RPL41",0,-1.96712569826403,0.394,0.976,0
"4","LYZ",0,0.603566951523733,0.457,0.035,0
"5","PLCG2",0,2.18215120262709,0.998,0.892,0
"6","RPS11",1.34992313549638e-293,-1.80502533469924,0.364,0.961,4.13089978693248e-289
"7","RPS27",1.17569304251698e-292,-1.80070716316898,0.419,0.974,3.59773827940621e-288
"8","RPS18",2.92149059502037e-292,-1.8806600836817,0.306,0.946,8.94005336982185e-288
"9","RPL13",1.15900081327661e-290,-1.80895943959048,0.439,0.978,3.54665838870776e-286
"10","RPL13A",2.81217417969763e-290,-1.79513630962562,0.457,0.975,8.6055342072927e-286
"11","RPL10",2.22132121490918e-286,-1.79438218721124,0.361,0.955,6.79746504974357e-282
"12","RPL28",6.51361181655354e-283,-1.76936405228554,0.272,0.934,1.99323035198355e-278
"13","RPL30",1.53968985200969e-278,-1.69300661975785,0.283,0.938,4.71160491613484e-274
"14","RPLP2",1.48832768092859e-273,-1.65652748765676,0.367,0.953,4.55443153640957e-269
"15","RPLP1",1.51751984512177e-272,-1.72439085812418,0.485,0.965,4.64376247805713e-268
"16","RPS12",2.01164071590845e-272,-1.70669464025197,0.282,0.941,6.15582175475144e-268
"17","RPS16",4.27204148830737e-271,-1.65292274377374,0.26,0.913,1.30728741583694e-266
"18","RPS27A",6.1895771609533e-269,-1.60280559322605,0.408,0.953,1.89407250702332e-264
"19","RPS14",2.72368963269887e-268,-1.66791557117552,0.25,0.915,8.33476264502181e-264
"20","RPL11",1.98148408192885e-262,-1.5770790444099,0.375,0.933,6.06353943911047e-258
"21","RPS19",4.36784923145304e-262,-1.59933338382417,0.277,0.914,1.33660554331695e-257
"22","RPS2",1.04041480512396e-261,-1.62762239598612,0.444,0.947,3.18377334515983e-257
"23","MTRNR2L12",2.18707881829579e-259,2.15452135426134,0.997,0.73,6.69267989186694e-255
"24","RPL18A",1.36764232965208e-257,-1.5589469537125,0.233,0.908,4.18512229296833e-253
"25","RPL19",6.48966820530351e-251,-1.52585918336404,0.282,0.916,1.98590336750493e-246
"26","RPL27A",6.28964852726356e-250,-1.50501674307249,0.257,0.895,1.92469534582792e-245
"27","RPL34",1.37197452776523e-246,-1.50967203213995,0.365,0.931,4.19837925241439e-242
"28","HIST1H1E",1.33846774010452e-245,0.689309812319704,0.556,0.104,4.09584513149385e-241
"29","RPS15",1.17766821116455e-244,-1.48807497365747,0.241,0.889,3.60378249298464e-240
"30","RPL39",7.24472248134509e-243,-1.4810807672109,0.231,0.887,2.21695752651641e-238
"31","RPS29",7.93433209465185e-243,-1.47485772994709,0.391,0.934,2.42798496428441e-238
"32","RPL37A",1.11996781987687e-242,-1.49007411612009,0.312,0.916,3.42721352560522e-238
"33","RPS23",1.10982018703177e-241,-1.47313612988509,0.296,0.915,3.39616075433593e-237
"34","RPS28",4.73970715914575e-241,-1.49301400677099,0.301,0.898,1.45039778777019e-236
"35","RPS3",2.14849508015851e-240,-1.47279863421992,0.243,0.874,6.57460979479305e-236
"36","RPL18",5.65300634885541e-240,-1.45869961159036,0.252,0.882,1.72987647281325e-235
"37","FAU",4.35717516523775e-238,-1.42853471434607,0.266,0.885,1.3333391723144e-233
"38","RPS15A",1.04954231199195e-224,-1.38859293716217,0.279,0.892,3.21170442892657e-220
"39","RPL21",7.14703993148808e-223,-1.35080384318051,0.357,0.909,2.18706568943467e-218
"40","B2M",3.13188567973028e-220,-1.26540512683272,0.967,0.994,9.58388336854263e-216
"41","RPL3",1.16479273709727e-217,-1.3838111297618,0.342,0.887,3.56438225479136e-213
"42","EEF1A1",4.43840349459551e-215,-1.28980661317074,0.606,0.964,1.35819585338117e-210
"43","RPL32",1.99362582431447e-213,-1.29844463211683,0.279,0.88,6.10069438498472e-209
"44","VCAN",7.84414811800163e-213,0.554514416157574,0.235,0.016,2.40038776558968e-208
"45","RPL23A",1.74587281500809e-210,-1.30104447627625,0.287,0.883,5.34254540120627e-206
"46","RPL37",1.40334623524125e-209,-1.30871825693997,0.302,0.883,4.29437981446173e-205
"47","RPS20",5.25092218796684e-209,-1.29526581042782,0.274,0.862,1.60683469873973e-204
"48","RPS21",1.4556839669348e-208,-1.32776132865538,0.272,0.855,4.45453850721719e-204
"49","RPS6",4.91418608375124e-203,-1.25901771263804,0.37,0.89,1.50379008348872e-198
"50","RPS25",8.97422081558082e-203,-1.24221619851806,0.254,0.857,2.74620131177589e-198
"51","RPL9",1.92019767532858e-201,-1.2524814541493,0.263,0.845,5.875996906273e-197
"52","RPS8",6.29892920891027e-201,-1.25115544977768,0.304,0.882,1.92753532721863e-196
"53","RPS17",7.54704840222887e-199,-1.25938177719497,0.225,0.82,2.30947228156606e-194
"54","RPS4X",6.88500218090131e-196,-1.33641395126917,0.206,0.81,2.10687951737761e-191
"55","MT-CO3",4.94602741468763e-193,-1.09683368236458,0.978,1,1.51353384916856e-188
"56","RPS3A",1.82179608025604e-192,-1.20075199475158,0.306,0.863,5.57487818519151e-188
"57","RPS5",1.16124341761684e-191,-1.22420881378391,0.154,0.774,3.55352098224929e-187
"58","RPS9",1.20961740020641e-190,-1.21083497866094,0.216,0.801,3.70155020637165e-186
"59","RPS13",1.84009678997886e-190,-1.21539266227332,0.22,0.818,5.63088018701432e-186
"60","RPL17",1.13443813219954e-187,-1.19230176998363,0.302,0.854,3.47149412834381e-183
"61","MARCH1",7.95535439090184e-185,1.27183139535966,0.946,0.644,2.43441799715987e-180
"62","RPL35A",1.45832530893873e-181,-1.17358643822952,0.25,0.818,4.4626212778834e-177
"63","RPL23",3.8250582081221e-181,-1.16383838517733,0.235,0.814,1.17050606226744e-176
"64","RPL26",3.39434399360339e-178,-1.12665235964408,0.268,0.839,1.03870320548257e-173
"65","RPL15",1.0715697431405e-175,-1.14564590789855,0.233,0.792,3.27911057098424e-171
"66","S100A9",3.14998123189117e-174,0.34711198459011,0.271,0.031,9.63925756771016e-170
"67","RPL8",1.72963289931524e-168,-1.09334075425134,0.208,0.774,5.29284963519457e-164
"68","TPT1",3.08898278974032e-168,-1.11499898917626,0.307,0.837,9.45259623488437e-164
"69","RPL7A",1.17129666917069e-167,-1.1070865885854,0.2,0.763,3.58428493732923e-163
"70","RPS26",4.21147413668998e-167,-1.16216543383799,0.231,0.775,1.2887532005685e-162
"71","STX7",1.48308651179669e-166,0.983794565953402,0.891,0.468,4.53839303474906e-162
"72","RPL29",3.10433971981367e-166,-1.08863126187781,0.167,0.745,9.49958997660181e-162
"73","HLA-B",9.06320897193608e-166,-1.05838480435404,0.677,0.933,2.77343257750216e-161
"74","RPL36",1.29008732745403e-164,-1.102320254335,0.198,0.757,3.94779623074207e-160
"75","RPS7",2.00455424639169e-164,-1.09511141296186,0.2,0.763,6.13413644938321e-160
"76","RPL12",1.7596519484615e-162,-1.05817566674891,0.202,0.767,5.38471092748705e-158
"77","RPSA",4.32895349868849e-160,-1.07724101082621,0.294,0.791,1.32470306013366e-155
"78","RPS24",1.03041492601517e-159,-1.05440433921439,0.279,0.806,3.15317271509904e-155
"79","RPL10A",7.81971619290312e-157,-1.05772099373433,0.249,0.777,2.39291135219028e-152
"80","MBNL1",9.81178763098003e-150,0.936607839431397,0.987,0.909,3.0025051329562e-145
"81","MT-ND3",6.19130772728826e-147,-0.972389560861069,0.978,1,1.89460207762748e-142
"82","UBA52",1.40613523351027e-145,-1.00069171498397,0.181,0.714,4.30291442806477e-141
"83","RIPOR2",4.33947492921341e-143,0.906807464424621,0.978,0.855,1.32792272308859e-138
"84","EIF1",1.38525129866162e-141,-0.976568668073426,0.383,0.815,4.23900749903443e-137
"85","RPL7",1.02109783383891e-133,-0.938165011065046,0.208,0.714,3.12466148133046e-129
"86","MTRNR2L8",4.26644279862257e-133,0.677141992768236,0.694,0.259,1.30557416080649e-128
"87","RPL36A",3.43776921569502e-132,-0.962060596961559,0.219,0.718,1.05199175769483e-127
"88","RPL31",5.30339605495245e-131,-0.920039236886405,0.249,0.747,1.622892226776e-126
"89","RPL27",1.74939607492013e-130,-0.912432738194694,0.157,0.67,5.3533269288631e-126
"90","MT-CO2",4.13566066008632e-130,-0.867588603454269,0.976,1,1.26555351859301e-125
"91","RPL14",2.64790832380764e-129,-0.936058528357664,0.231,0.73,8.10286426168377e-125
"92","RPL38",5.33120546100478e-129,-0.913766830150798,0.202,0.704,1.63140218312207e-124
"93","TMSB4X",9.16916650999557e-127,-0.957744076192802,0.622,0.884,2.80585664372374e-122
"94","CD74",4.18457619972333e-124,-0.870562426141194,0.969,0.977,1.28052216287734e-119
"95","HLA-C",5.59051376720803e-124,-0.957202361500277,0.42,0.801,1.71075311790333e-119
"96","RPL35",5.13879665989644e-123,-0.891545143586278,0.175,0.67,1.57252316589491e-118
"97","RPL5",2.8736739828706e-119,-0.851513738022187,0.323,0.766,8.79372975498233e-115
