"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","DPYD",0,1.11016754878914,0.999,0.996,0
"2","MT-CO3",3.26162055046605e-249,-0.999217287053229,0.988,1,9.98088504648115e-245
"3","HLA-B",4.60879642206117e-236,-1.08771402426326,0.549,0.905,1.41033779311494e-231
"4","MT-ND3",6.21847175036197e-235,-0.985364113655096,0.979,0.999,1.90291454032827e-230
"5","MBNL1",9.00474143132702e-227,0.927056192660171,0.993,0.942,2.75554092540038e-222
"6","MT-CO2",1.39614775448557e-219,-0.937113826581021,0.989,0.999,4.27235174350128e-215
"7","PLXDC2",1.1980549472495e-212,0.900180687231863,0.986,0.868,3.66616794407821e-208
"8","RPL41",5.05697204761476e-207,-1.16442809482371,0.257,0.718,1.54748401629059e-202
"9","MT-ND1",2.64393205744709e-206,-0.991349867470459,0.976,0.997,8.09069648899385e-202
"10","RPL13",5.34958846000223e-201,-1.13167847000204,0.277,0.731,1.63702756464528e-196
"11","RPS11",6.02837308227416e-201,-1.12068932003344,0.203,0.667,1.84474244690671e-196
"12","MT-CYB",6.6302991114502e-201,-0.864808891198895,0.968,0.998,2.02893783109487e-196
"13","RPL13A",5.99489884291781e-196,-1.07500324864489,0.247,0.709,1.83449899492128e-191
"14","RPS27",2.11867753076717e-195,-1.0403860087565,0.23,0.693,6.48336511190063e-191
"15","RPL37A",7.68074259384924e-193,-1.00268503930428,0.169,0.64,2.35038404114381e-188
"16","RPL10",6.94511313379742e-189,-0.964477600690744,0.2,0.664,2.12527407007335e-184
"17","DLEU2",1.55809505848602e-188,0.936507472428588,0.868,0.522,4.76792668847308e-184
"18","RPS2",3.6107677982233e-187,-1.06814591048668,0.225,0.671,1.10493105393431e-182
"19","RPS14",2.14787780590303e-186,-0.975831014174417,0.153,0.612,6.57272087384385e-182
"20","RPLP2",1.59445324176678e-184,-0.973296235458406,0.218,0.676,4.87918636513054e-180
"21","RPS12",6.02274746344038e-184,-0.944016471336168,0.183,0.642,1.84302095128739e-179
"22","MT-ND2",4.52330176653208e-183,-0.83847769334397,0.959,0.995,1.38417557357648e-178
"23","RPS16",6.93495408150047e-182,-0.901893098020176,0.144,0.602,2.12216529847996e-177
