"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","RPL22",0,-0.791173022102398,0.192,0.63,0
"2","RPL11",0,-1.72939023588665,0.363,0.954,0
"3","RPS8",0,-1.364450942603,0.295,0.89,0
"4","RPL5",0,-1.02671133028307,0.341,0.816,0
"5","S100A9",0,0.351746023931919,0.267,0.028,0
"6","RPS27",0,-2.09303236358633,0.442,0.984,0
"7","RPS7",0,-1.22171624876082,0.216,0.81,0
"8","RPS27A",0,-1.8682902557659,0.414,0.971,0
"9","TMSB10",0,-0.949021519283962,0.43,0.826,0
"10","RPL31",0,-1.13197670394458,0.263,0.811,0
"11","EEF1B2",0,-0.793416789335912,0.147,0.592,0
"12","RPL37A",0,-1.66885767934893,0.314,0.94,0
"13","RPL32",0,-1.54551598091826,0.298,0.916,0
"14","RPL15",0,-1.17898947444473,0.193,0.785,0
"15","RPSA",0,-1.15387305721328,0.288,0.819,0
"16","RPL14",0,-1.08539374793483,0.252,0.791,0
"17","RPL29",0,-1.23731698478613,0.138,0.77,0
"18","MTRNR2L12",0,2.38882445879947,0.991,0.625,0
"19","RPL24",0,-0.946275400697189,0.221,0.725,0
"20","MBNL1",0,1.02796468998291,0.995,0.968,0
"21","MBNL1-AS1",0,0.365845473854899,0.274,0.057,0
"22","RPL35A",0,-1.38647898256706,0.263,0.874,0
"23","RPL9",0,-1.38477332738873,0.263,0.875,0
"24","PPBP",0,0.425729955047293,0.293,0.004,0
"25","RPL34",0,-1.70960142656888,0.394,0.957,0
"26","RPS3A",0,-1.4014665877212,0.312,0.89,0
"27","RPL37",0,-1.4765922699816,0.333,0.916,0
"28","RPS23",0,-1.56701385162585,0.295,0.919,0
"29","VCAN",0,0.288946980066011,0.224,0.016,0
"30","RPS14",0,-1.93448394622586,0.3,0.962,0
"31","RACK1",0,-0.834566367331274,0.184,0.644,0
"32","RIPOR2",0,0.929333867353775,0.984,0.896,0
"33","HIST1H1E",0,0.584106935653409,0.495,0.112,0
"34","HLA-C",0,-0.961887231849586,0.552,0.885,0
"35","HLA-B",0,-0.977731139055656,0.734,0.957,0
"36","RPS18",0,-2.05951101287582,0.329,0.969,0
"37","RPL10A",0,-1.13926747363568,0.27,0.809,0
"38","EEF1A1",0,-1.65023195574776,0.573,0.979,0
"39","RPS12",0,-2.07989471979315,0.318,0.97,0
"40","RPS20",0,-1.46427261934463,0.259,0.895,0
"41","RPL7",0,-1.0969596642439,0.175,0.753,0
"42","RPL30",0,-1.91870546088084,0.318,0.963,0
"43","AC016074.2",0,0.638681748133305,0.562,0.173,0
"44","LINC00861",0,0.872375954647699,0.824,0.46,0
"45","RPL8",0,-1.10956152931561,0.163,0.749,0
"46","RPS6",0,-1.4485068917726,0.393,0.927,0
"47","RPL35",0,-0.933132228421091,0.183,0.69,0
"48","RPL12",0,-1.09022459180916,0.196,0.754,0
"49","RPL7A",0,-1.1079596409705,0.2,0.77,0
"50","RPS24",0,-1.13723100293744,0.284,0.832,0
"51","RPLP2",0,-1.93825107734075,0.361,0.972,0
"52","RPL27A",0,-1.60485758364284,0.265,0.922,0
"53","MTRNR2L8",0,0.78497714602731,0.652,0.166,0
"54","RPS13",0,-1.37961422748327,0.205,0.847,0
"55","EEF1G",0,-0.924439289081267,0.157,0.659,0
"56","FAU",0,-1.42936485962953,0.284,0.889,0
"57","RPS3",0,-1.66275525659545,0.287,0.928,0
"58","RPS25",0,-1.47803474528051,0.292,0.906,0
"59","NRGN",0,0.263415207871883,0.186,0.005,0
"60","ETS1",0,0.923027972024003,0.939,0.682,0
"61","RPS26",0,-1.30984909059971,0.222,0.824,0
