"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","PPBP",1.86383485518714e-71,0.351599831704417,0.265,0.003,5.70352104035818e-67
"2","RPS11",6.5291885759519e-43,-2.68246566496333,0.25,0.99,1.99799699612704e-38
"3","RPL10",9.31694165680476e-43,-2.58412630641214,0.176,0.991,2.85107731639882e-38
"4","RPL41",9.38012875578514e-43,-2.60984901110094,0.279,0.993,2.87041320055781e-38
"5","RPS14",2.44826969737956e-42,-2.44260988484756,0.118,0.98,7.49195010095118e-38
"6","RPL13",3.29337032129186e-42,-2.51735318003977,0.235,0.988,1.00780425201852e-37
"7","RPLP1",3.51725660455618e-42,-2.47357498278388,0.426,0.993,1.07631569356024e-37
"8","RPS18",3.89309927680635e-42,-2.36911292525148,0.191,0.987,1.19132730969551e-37
"9","RPS12",4.27622028897266e-42,-2.43431708568072,0.132,0.982,1.30856617062852e-37
"10","RPS27A",5.1385239447913e-42,-2.31029092468911,0.206,0.982,1.57243971234559e-37
"11","RPL28",5.47700834647682e-42,-2.40719917263317,0.162,0.98,1.67601932410537e-37
"12","RPS16",8.23176884242282e-42,-2.1596552781138,0.162,0.977,2.51900358346981e-37
"13","RPL13A",8.37658074555473e-42,-2.42886458836472,0.309,0.989,2.5633174739472e-37
"14","RPLP2",1.35357901250172e-41,-2.22150132473304,0.206,0.98,4.1420871361565e-37
"15","RPL37A",1.50666999424023e-41,-2.2949016555312,0.221,0.977,4.61056084937451e-37
"16","RPL18A",1.8705303945107e-41,-2.06520989835618,0.088,0.968,5.72401006024221e-37
"17","RPS27",3.08750477727159e-41,-2.26858048507251,0.191,0.986,9.44807336892878e-37
"18","RPS23",3.54704471927905e-41,-2.28891496227239,0.162,0.981,1.08543115454658e-36
"19","RPS2",4.18838361463636e-41,-2.25946296943651,0.353,0.987,1.28168726991487e-36
"20","RPL19",4.23476332696481e-41,-2.24007680434418,0.191,0.975,1.2958799256845e-36
"21","RPS19",7.70793747781899e-41,-2.09783776751261,0.176,0.978,2.35870594758739e-36
"22","RPS28",1.11005024547434e-40,-2.05433983422691,0.191,0.976,3.39686475617603e-36
"23","RPL34",1.16943334092359e-40,-2.1094699476144,0.25,0.978,3.57858296656029e-36
"24","PLCG2",1.55815398614986e-40,2.37486335557614,1,0.898,4.76810701301719e-36
"25","RPL11",2.04336788037488e-40,-2.15342842967266,0.176,0.972,6.25291005073518e-36
"26","MTRNR2L12",2.42165782950996e-40,2.95452349517851,1,0.58,7.41051512408342e-36
"27","EEF1A1",3.74966145873911e-40,-2.33500900417206,0.456,0.993,1.14743390298876e-35
"28","RPL30",5.12128410442956e-40,-2.07080451558994,0.132,0.974,1.56716414879649e-35
"29","RPS15A",6.32061907222074e-40,-1.92174159388206,0.176,0.966,1.93417264229027e-35
"30","RPS13",7.4119229298958e-40,-2.02736463914444,0.132,0.961,2.26812253577742e-35
"31","RPS29",7.5663725461369e-40,-1.96753335834497,0.235,0.974,2.31538566284335e-35
"32","RPS6",8.96163430012153e-40,-1.84689998801696,0.353,0.978,2.74234971218019e-35
"33","RPL27A",1.09884324691919e-39,-1.99198594120546,0.162,0.973,3.36257021989741e-35
"34","RPS3A",1.12277921896884e-39,-2.02622842962008,0.265,0.973,3.43581668796654e-35
"35","RPL37",1.32343424275418e-39,-2.06822879579029,0.191,0.966,4.04984112625206e-35
"36","RPL23",1.63530982800372e-39,-1.94963991159582,0.221,0.972,5.00421160467418e-35
"37","RPL9",1.81337898387562e-39,-1.9170893800466,0.118,0.957,5.54912102855777e-35
"38","RPL21",2.01817780265175e-39,-1.93825381684813,0.25,0.97,6.17582589389463e-35
"39","RPL18",3.73330304491051e-39,-1.92625505690914,0.074,0.944,1.14242806477307e-34
"40","RPL26",6.68898818787381e-39,-1.87539617218095,0.162,0.957,2.04689727537126e-34
"41","RPS3",7.2668379997196e-39,-1.87478221584533,0.118,0.947,2.22372509629419e-34
"42","RPS4X",7.31989591303191e-39,-1.86572624888709,0.118,0.954,2.23996134834689e-34
"43","RPL35A",7.64240150941116e-39,-1.83461688010801,0.088,0.939,2.33865128589491e-34
"44","RPS15",1.06086248909614e-38,-2.00378270290169,0.147,0.952,3.2463453028831e-34
"45","RPL23A",1.69275234407386e-38,-1.81044217494427,0.162,0.959,5.17999144810043e-34
"46","TPT1",2.48409610677568e-38,-1.93330515566634,0.25,0.97,7.60158249634425e-34
"47","RPS8",3.43809679538799e-38,-1.90451457791665,0.191,0.965,1.05209200035668e-33
"48","RPS17",4.8721454650316e-38,-1.76965777441842,0.147,0.948,1.49092523375432e-33
"49","RPS20",1.01332449113033e-37,-1.81137415288001,0.191,0.955,3.10087427530791e-33
"50","RPS9",1.13639303370863e-37,-1.80507734624348,0.176,0.956,3.47747632245179e-33
"51","RPL3",1.27012172261501e-37,-1.81594176167827,0.221,0.966,3.88669948337418e-33
"52","FAU",2.15720011607616e-37,-1.81234763585121,0.191,0.947,6.60124807520467e-33
"53","RPS24",2.27053229789417e-37,-1.87778410734148,0.324,0.969,6.94805588478596e-33
"54","RPL17",3.22121881440265e-37,-1.74399025004453,0.279,0.95,9.85725169395354e-33
"55","RPL15",3.97543066665e-37,-1.69151545789525,0.191,0.943,1.21652153830157e-32
"56","RPS7",4.0742556578176e-37,-1.69495857717871,0.118,0.937,1.24676297384876e-32
"57","RPL32",4.60063412190242e-37,-1.83726291264039,0.206,0.949,1.40784004764336e-32
"58","RPS25",4.85601811113567e-37,-1.6953209822127,0.191,0.947,1.48599010218863e-32
"59","RPS21",2.02320134291073e-36,-1.69805701389148,0.118,0.925,6.19119842944112e-32
"60","RPL39",2.96851752864693e-36,-1.84421384940084,0.147,0.949,9.08396048941247e-32
"61","B2M",5.5619698073338e-36,-1.66327672052759,0.897,0.999,1.70201838074222e-31
"62","RPSA",8.03480016533151e-36,-1.5573783647107,0.074,0.9,2.4587291985931e-31
"63","RPL7A",1.49970093168907e-35,-1.57995051904711,0.147,0.928,4.58923482106173e-31
"64","RPL6",1.74439019460885e-35,-1.59204690476586,0.206,0.944,5.33800843452253e-31
"65","UBA52",2.7854143815298e-35,-1.59762167179046,0.103,0.911,8.52364654891933e-31
"66","RPL24",2.46130266164572e-34,-1.453157005199,0.074,0.881,7.53183227490207e-30
