"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","PPBP",0,0.320653210799164,0.211,0.004,0
"2","VCAN",4.90133826235727e-251,0.369049023147764,0.246,0.011,1.49985852166395e-246
"3","LYZ",1.56382370637176e-221,0.586296493453665,0.414,0.042,4.78545692386821e-217
"4","MTRNR2L12",1.06845987865629e-186,2.40238120107587,0.992,0.603,3.2695940746761e-182
"5","RPL41",3.22309202874069e-183,-1.73602211964512,0.427,0.967,9.86298391714938e-179
"6","PLCG2",4.76065754292246e-181,1.87633363551816,1,0.835,1.4568088147097e-176
"7","B2M",6.97918819220261e-178,-1.42358031625721,0.986,1,2.13570137869592e-173
"8","NKG7",3.45080893347325e-174,-1.82034295977009,0.565,0.969,1.05598204173215e-169
"9","RPS27",1.40629994034301e-162,-1.52926989577582,0.405,0.95,4.30341844744366e-158
"10","RPLP1",8.04554216764568e-161,-1.60323781539936,0.457,0.949,2.46201635872126e-156
"11","TMSB4X",4.31190666561707e-158,-1.49587007949853,0.716,0.977,1.31948655874548e-153
"12","RPL13A",2.94555103250972e-157,-1.49280860953812,0.451,0.945,9.013680714583e-153
"13","RPL13",7.5778541704173e-154,-1.52429143280985,0.408,0.946,2.3188991546894e-149
"14","RPS14",4.09783277423566e-148,-1.44445787997387,0.305,0.902,1.25397780724385e-143
"15","RPL28",3.75888262087139e-147,-1.47769925474872,0.314,0.902,1.15025567081285e-142
"16","RPL10",9.65111228931057e-145,-1.43614045847776,0.395,0.921,2.95333687165193e-140
"17","RPS18",3.32194004373301e-141,-1.42310899726108,0.324,0.89,1.01654687278274e-136
"18","RPLP2",9.23343997964833e-141,-1.38124245557069,0.384,0.911,2.82552496817219e-136
"19","MTRNR2L8",7.21854645601386e-136,0.740921322302244,0.624,0.154,2.2089474010048e-131
"20","HLA-C",2.2451488163408e-134,-1.30333717950004,0.732,0.967,6.87037989288449e-130
"21","RPS29",5.94026526557446e-133,-1.2919612032167,0.395,0.913,1.81778057391844e-128
"22","RPS27A",5.07694155009592e-132,-1.33381049994136,0.322,0.882,1.55359488374485e-127
"23","RPL19",9.23858801790984e-131,-1.32441461255344,0.249,0.85,2.82710031936059e-126
"24","S100A9",6.13525916975751e-129,0.348276364851923,0.281,0.032,1.8774506585375e-124
"25","RPS12",1.69915462419576e-127,-1.31484430449373,0.343,0.874,5.19958306550145e-123
"26","RPS15",6.16509524813718e-127,-1.28496169486371,0.259,0.845,1.88658079688246e-122
"27","HIST1H1E",1.09540586145135e-125,0.738087210201479,0.654,0.18,3.35205147662727e-121
"28","HLA-B",1.16510651331442e-125,-1.13068265244018,0.865,0.983,3.56534244139346e-121
"29","RPS11",4.16062273547461e-125,-1.26516217016819,0.365,0.881,1.27319216328258e-120
"30","RPS16",2.4211081956976e-122,-1.2725132221659,0.243,0.834,7.40883318965422e-118
"31","RPS28",3.64294615302811e-122,-1.25844495404848,0.276,0.843,1.11477795228813e-117
"32","RPS15A",1.03067441408073e-120,-1.23231611549532,0.284,0.85,3.15396677452844e-116
"33","RPL30",1.43926189203434e-120,-1.2366499807266,0.292,0.847,4.40428531581429e-116
"34","RPS2",2.64654283630454e-119,-1.30129683354398,0.381,0.874,8.09868573337554e-115
"35","RPS3",1.17481591502527e-117,-1.2206025841203,0.265,0.825,3.59505418156882e-113
"36","FAU",6.54662728334276e-114,-1.17362185119763,0.268,0.826,2.00333341497572e-109
"37","PFN1",1.24346016018657e-112,-1.28084518502302,0.405,0.877,3.80511243618691e-108
"38","RPL37A",2.53844764443136e-112,-1.19134870061663,0.311,0.839,7.76790363672442e-108
"39","RPS19",3.16966597699544e-112,-1.18305992875504,0.281,0.836,9.69949485620375e-108
"40","EIF1",7.49995010587187e-112,-1.15574754486705,0.395,0.863,2.29505973189785e-107
"41","RPL27A",6.37220165524569e-111,-1.14633935542762,0.303,0.829,1.94995742852173e-106
"42","RPL34",3.16271143048793e-109,-1.15305482149537,0.343,0.853,9.67821324843611e-105
"43","MBNL1",1.62864874313211e-106,1.07709130626377,0.997,0.912,4.98382801885856e-102
"44","RPL39",1.18431731880425e-103,-1.10352864608304,0.257,0.797,3.62412942727288e-99
"45","RPL18A",3.0153508140658e-102,-1.13311151368383,0.216,0.771,9.22727502612277e-98
"46","HLA-A",6.86190160619165e-101,-1.05649531991023,0.686,0.944,2.09981051051071e-96
"47","TMSB10",3.56546554519634e-98,-1.10389179676685,0.495,0.88,1.09106811148553e-93
