"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","PPBP",3.22506539521666e-96,1.32372984344779,0.578,0.049,9.8690226159025e-92
"2","PF4",7.33339955182925e-93,1.10743172539668,0.541,0.045,2.24409359685527e-88
"3","LYZ",3.45399583493973e-91,0.768635185280917,0.523,0.041,1.05695726544991e-86
"4","CAVIN2",2.93085423356936e-79,1.05531414929748,0.468,0.04,8.96870704014559e-75
"5","NRGN",5.0889027023225e-74,1.20514841420633,0.514,0.051,1.55725511593771e-69
"6","TUBB1",1.07840471517079e-69,1.30675786889168,0.44,0.041,3.30002626889414e-65
"7","HIST1H1E",1.20026139700962e-69,0.736336759759377,0.532,0.062,3.67291990098915e-65
"8","F13A1",2.51890796414011e-66,0.578442577843232,0.367,0.029,7.70811026106515e-62
"9","ITGB3",3.6790205149993e-60,0.438189368857316,0.266,0.015,1.12581706779494e-55
"10","MTRNR2L8",5.56330198034227e-52,0.970848021789489,0.624,0.113,1.70242603900454e-47
"11","MTRNR2L12",9.30058386280185e-52,2.45601327792449,0.991,0.805,2.84607166785599e-47
"12","CLU",4.914206896701e-48,0.672512755135378,0.367,0.041,1.50379645245947e-43
"13","S100A9",4.09546267538061e-45,0.335283330078921,0.294,0.027,1.25325253329322e-40
"14","THBS1",6.78113927995402e-45,0.338224225915454,0.211,0.013,2.07509643105873e-40
"15","GNG11",1.22178434011506e-44,0.410661526366021,0.349,0.039,3.73878225918609e-40
"16","PLCG2",1.05377104105616e-43,1.40946152889083,1,0.861,3.22464476273594e-39
"17","CTSS",1.45634969862895e-40,0.681806457996391,0.45,0.074,4.45657571277445e-36
"18","GP1BB",1.74324821858581e-39,0.771047360390497,0.413,0.064,5.33451387369442e-35
"19","S100A8",1.84913124490188e-39,0.317836228915373,0.211,0.016,5.65852652252423e-35
"20","RPL28",2.43369508161227e-38,-1.38098383099511,0.321,0.916,7.44735031924172e-34
"21","RPL30",8.54141533889944e-38,-1.29123455182962,0.284,0.891,2.61375850785662e-33
"22","RPL41",9.45266661697597e-38,-1.45339215053667,0.468,0.962,2.89261051146082e-33
"23","RPL39",1.45959510836249e-37,-1.32847303993322,0.211,0.853,4.46650699110005e-33
"24","RPLP2",3.33398126023018e-37,-1.30281426284877,0.367,0.932,1.02023160544304e-32
"25","LINC00612",3.13101069654724e-36,0.342568663111892,0.229,0.021,9.5812058325042e-32
"26","ITGA6",2.17012849777255e-35,0.509604098119671,0.367,0.057,6.64081021603378e-31
"27","RPL19",2.17643045645738e-35,-1.20740538289276,0.266,0.863,6.66009483980523e-31
"28","LINC00861",2.81522679669115e-35,0.92318672663661,0.44,0.086,8.61487552055459e-31
"29","RPS11",5.31904651362121e-35,-1.21368178666752,0.303,0.885,1.62768142363323e-30
"30","NCK2",2.40201585570156e-34,0.697236843969957,0.569,0.136,7.35040872003233e-30
"31","AC016074.2",4.19742998856639e-34,0.590054823569136,0.33,0.049,1.2844555508012e-29
"32","HIST1H2AC",5.1865657427652e-34,0.574756947858849,0.303,0.041,1.58714098294358e-29
"33","PRKAR2B",6.05623846122621e-34,0.555118456811402,0.303,0.041,1.85326953151983e-29
"34","RPS12",6.90810828943999e-34,-1.34912356851318,0.422,0.939,2.11395021765153e-29
"35","RPS27",1.38947191199017e-33,-1.35370645179097,0.486,0.964,4.25192299788111e-29
"36","RPL26",2.65601642441955e-33,-1.23517582933919,0.165,0.777,8.12767586036628e-29
"37","RPS29",2.9580991032633e-33,-1.28498419281178,0.44,0.942,9.05207906589602e-29
"38","RPL32",1.21676163825676e-32,-1.20695359982009,0.312,0.857,3.72341228922952e-28
"39","RPL10",1.45399178988759e-32,-1.25686098065143,0.404,0.921,4.44936027623502e-28
"40","RPL13",2.64591932031021e-32,-1.31115313435575,0.505,0.962,8.09677771208127e-28
"41","OPRM1",3.20573316673783e-32,0.365956101525413,0.211,0.021,9.80986406353442e-28
"42","RPS15A",3.23481714463631e-32,-1.20548058717323,0.33,0.868,9.89886394430159e-28
"43","RPS14",4.52197950195043e-32,-1.20864949746046,0.385,0.901,1.38377094739185e-27
"44","RPS26",1.71417013626796e-31,-1.14691384361486,0.156,0.753,5.24553203399357e-27
"45","RPL37",2.96842125791818e-31,-1.07072165963651,0.294,0.856,9.08366589135543e-27
"46","RPL18A",1.24647193897406e-30,-1.11486077766142,0.294,0.833,3.81432878045452e-26
"47","RPL27A",1.46868548214606e-30,-1.05174984212413,0.284,0.842,4.49432444391517e-26
"48","RPS27A",2.10450347317855e-30,-1.15956505047061,0.404,0.913,6.43999107827369e-26
"49","RPS20",2.611788203505e-30,-1.13520459151491,0.248,0.801,7.99233308154564e-26
"50","RPS19",3.60441514071599e-30,-1.11026102286665,0.303,0.863,1.1029870772105e-25
"51","RGS18",9.61207926351885e-30,0.703951750854056,0.486,0.112,2.9413923754294e-25
"52","AC245297.3",3.47991402725307e-29,0.442552748174505,0.404,0.081,1.06488849147971e-24
"53","DPYD-AS1",6.1951135562072e-29,0.452600543286536,0.275,0.04,1.89576669933497e-24
"54","RPL18",6.25575190440517e-29,-1.04830560627814,0.266,0.8,1.91432264026703e-24
"55","RPS23",6.61414906304224e-29,-1.16173949625537,0.303,0.829,2.02399575478156e-24
