"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","PPBP",3.07884418019566e-267,0.352525356300694,0.238,0.004,9.42157107581674e-263
"2","LYZ",1.40032241348686e-204,0.671208684325327,0.461,0.04,4.28512661751115e-200
"3","PLCG2",4.80758166675468e-153,2.04113985126088,0.989,0.557,1.4711680658436e-148
"4","RPL41",2.02321519466883e-151,-1.95379669357972,0.482,0.983,6.19124081720608e-147
"5","B2M",2.84007045993175e-151,-1.68014310937218,0.975,0.998,8.69089961443716e-147
"6","RPL13",2.99160582011833e-146,-1.90274023444436,0.465,0.983,9.1546129701441e-142
"7","RPS18",2.9244387610288e-140,-1.78782187953359,0.376,0.959,8.94907505262422e-136
"8","RPS27",6.76286339196943e-139,-1.73819036740203,0.44,0.978,2.06950382657656e-134
"9","RPL10",9.44360247452113e-139,-1.79417989815507,0.447,0.97,2.88983679322821e-134
"10","RPS14",3.28520961849893e-138,-1.75363198448494,0.309,0.953,1.00530699535686e-133
"11","RPL13A",4.37863773452168e-138,-1.70660230890171,0.518,0.977,1.33990693314098e-133
"12","RPL28",6.07564658082635e-138,-1.78700717009796,0.348,0.957,1.85920861019867e-133
"13","RPLP1",4.86847265897389e-137,-1.78689241548122,0.528,0.976,1.4898013183726e-132
"14","VCAN",7.98185364725755e-133,0.327522181291871,0.216,0.012,2.44252703459728e-128
"15","RPS16",5.36606095950268e-132,-1.64734576414511,0.319,0.933,1.64206831421741e-127
"16","RPS2",2.17025550675749e-131,-1.68341149807895,0.496,0.967,6.64119887622859e-127
"17","RPS12",9.64038831140177e-129,-1.68315496746867,0.401,0.955,2.95005522717205e-124
"18","RPLP2",2.79698527996164e-128,-1.63633028403394,0.397,0.956,8.55905465521061e-124
"19","RPS27A",1.24177804918005e-126,-1.58821754625413,0.44,0.953,3.79996500829586e-122
"20","RPS15",1.24652873036119e-126,-1.60698829948737,0.234,0.909,3.81450256777827e-122
"21","RPL19",2.57457453470143e-125,-1.60709667519694,0.262,0.925,7.87845553363984e-121
"22","RPL3",5.61595743194126e-123,-1.59074018118719,0.337,0.924,1.71853913374835e-118
"23","RPS11",5.74013230689185e-123,-1.54491962517526,0.369,0.937,1.75653788723198e-118
"24","RPS29",1.34221569626978e-122,-1.51552401026406,0.433,0.947,4.10731425215516e-118
"25","RPS28",8.50947833528297e-122,-1.5646625505638,0.284,0.917,2.60398546537994e-117
"26","RPL30",1.91611853822546e-120,-1.52410231573465,0.34,0.928,5.86351433882374e-116
"27","RPS19",3.56965292647563e-119,-1.53385499213911,0.305,0.921,1.09234949203081e-114
"28","RPL18A",3.61722559192309e-119,-1.51325509520322,0.248,0.899,1.10690720338438e-114
"29","RPS15A",3.81527585742254e-119,-1.50716172455512,0.298,0.909,1.16751256512987e-114
"30","RPS3",6.61961083091888e-118,-1.51093211945741,0.305,0.911,2.02566711036949e-113
"31","MTRNR2L12",7.72376091439585e-118,2.28744653691928,0.989,0.675,2.36354807741427e-113
"32","HLA-B",9.61162148346849e-117,-1.36365084031849,0.819,0.989,2.94125229015619e-112
"33","TMSB4X",2.4160469765907e-116,-1.49331291933728,0.677,0.971,7.39334535306519e-112
"34","RPL27A",7.74570795379333e-116,-1.47025983433893,0.291,0.907,2.3702640909403e-111
"35","RPL11",1.06751585872616e-115,-1.46170725973703,0.376,0.928,3.26670527928791e-111
"36","RPL34",1.2214137282072e-112,-1.45591230567185,0.418,0.935,3.73764814968685e-108
"37","RPS23",1.26890644420787e-111,-1.44335883644288,0.248,0.886,3.88298060992051e-107
"38","RPL39",2.83347597757416e-110,-1.42375432869342,0.255,0.879,8.6707198389747e-106
"39","FAU",8.51974507301396e-110,-1.40683315931814,0.266,0.889,2.607127189793e-105
"40","RPL18",4.39460251334268e-107,-1.39610727840201,0.273,0.877,1.34479231510799e-102
"41","RPL32",1.10328257149543e-103,-1.32542926072085,0.273,0.883,3.37615499703317e-99
"42","RPL37A",1.80454987287569e-103,-1.363968992715,0.379,0.913,5.52210306598689e-99
"43","S100A9",1.40908011803562e-99,0.376682782564176,0.312,0.038,4.3119260692008e-95
"44","HLA-C",1.72706524637285e-98,-1.31277408747604,0.706,0.966,5.28499236042555e-94
"45","RPL17",4.5191576300305e-98,-1.29209854135623,0.326,0.886,1.38290742636563e-93
"46","EEF1A1",5.7313934441717e-98,-1.25071636461656,0.613,0.96,1.75386370785098e-93
"47","MT-CO3",2.07891611420179e-95,-1.13577435027791,0.972,1,6.36169120106888e-91
"48","MBNL1",9.20706120313068e-93,1.23288454404673,0.993,0.917,2.81745279877002e-88
"49","RPL23A",1.00698857131669e-92,-1.21569010536816,0.358,0.882,3.0814857270862e-88
"50","RPS4X",1.91319139246619e-92,-1.26654441483467,0.248,0.829,5.8545569800858e-88
"51","HIST1H1E",2.35549031888318e-92,0.702273741702393,0.567,0.14,7.20803592481443e-88
"52","RPS20",7.16727675252816e-92,-1.22874983728745,0.312,0.858,2.19325835904114e-87
"53","RPS21",2.57778830324435e-91,-1.23966430404508,0.298,0.857,7.88828998675804e-87
"54","RPL21",7.61071768095333e-89,-1.17093131206652,0.383,0.884,2.32895571754853e-84
"55","RPS6",3.04507450807625e-88,-1.20195127994101,0.379,0.883,9.31823250216413e-84
"56","RPL35A",4.46932619831344e-88,-1.18027463625295,0.259,0.827,1.3676585099459e-83
"57","RPS25",8.02551113172055e-88,-1.1644559457721,0.333,0.865,2.45588666141781e-83
"58","MTRNR2L8",7.31263107775332e-86,0.678403229194535,0.613,0.168,2.23773823610329e-81
"59","RPL15",1.40643766129787e-85,-1.15356806770295,0.223,0.81,4.30383988733762e-81
"60","RPS17",4.20961369964311e-85,-1.18262160246653,0.259,0.812,1.28818388822779e-80
"61","RPS24",7.58605713619247e-84,-1.11143327494919,0.294,0.847,2.32140934424626e-79
"62","EIF1",8.58174420015564e-84,-1.12151543791833,0.465,0.883,2.62609954268963e-79
"63","RPL9",1.06462351526769e-83,-1.14121474424405,0.305,0.833,3.25785441907067e-79
"64","HLA-A",3.60363292374136e-83,-1.1191048972584,0.674,0.944,1.1027477109941e-78
"65","AC016074.2",3.06280810853915e-82,0.556698098344726,0.418,0.084,9.37249909294065e-78
"66","TPT1",1.54812322336726e-81,-1.06834283412804,0.411,0.883,4.73741187582615e-77
"67","RPL37",2.42542065705413e-81,-1.11829910433532,0.365,0.861,7.42202975265134e-77
"68","RPS8",8.864802094038e-81,-1.10838962165141,0.34,0.856,2.71271808879657e-76
"69","RIPOR2",1.1519360204471e-80,1.10825921706654,0.982,0.775,3.52503941617018e-76
"70","NKG7",1.31529865129391e-80,-1.41364220999861,0.333,0.814,4.02494540282449e-76
