"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","RPL22",0,-0.722582546078802,0.168,0.576,0
"2","RPL11",0,-1.61839028044425,0.318,0.919,0
"3","CD52",0,-0.633228081735834,0.308,0.594,0
"4","FGR",0,0.290369479803681,0.235,0.073,0
"5","CSF3R",0,0.560851800207273,0.242,0.025,0
"6","RPS8",0,-1.29877377515658,0.264,0.854,0
"7","ST6GALNAC3",0,0.500186434045805,0.254,0.084,0
"8","LRRC8D",0,0.357553651185428,0.347,0.143,0
"9","EVI5",0,0.524398800089586,0.316,0.098,0
"10","RPL5",0,-0.981467411697851,0.288,0.771,0
"11","DPYD",0,1.24766556724832,0.918,0.82,0
"12","DPYD-AS1",0,0.497316842768295,0.394,0.15,0
"13","SLC22A15",0,0.397805862422394,0.204,0.038,0
"14","NOTCH2",0,0.531003521678232,0.405,0.143,0
"15","ADAMTSL4-AS1",0,0.340885182473352,0.292,0.105,0
"16","CTSS",0,0.61564241321225,0.598,0.238,0
"17","S100A9",0,0.301313024213091,0.294,0.051,0
"18","S100A8",0,0.262246102349007,0.215,0.027,0
"19","S100A6",0,-0.484695482782016,0.163,0.402,0
"20","S100A4",0,-0.830688085435237,0.194,0.542,0
"21","RPS27",0,-1.98825219036652,0.373,0.969,0
"22","MNDA",0,0.461917426806024,0.266,0.036,0
"23","RCSD1",0,0.434879958942905,0.539,0.285,0
"24","NCF2",0,0.384365370048899,0.248,0.044,0
"25","RGS18",0,0.317495468120619,0.213,0.019,0
"26","NEK7",0,0.434944645991098,0.6,0.374,0
"27","PTPRC",0,0.487673155345641,0.998,0.991,0
"28","MIR181A1HG",0,0.474019318456355,0.289,0.096,0
"29","SRGAP2",0,0.29797979838791,0.253,0.079,0
"30","H3F3A",0,-0.533503409362276,0.451,0.677,0
"31","DISC1",0,0.46129199279986,0.474,0.25,0
"32","LYST",0,0.934925466137814,0.607,0.333,0
"33","CEP170",0,0.387366467230257,0.345,0.14,0
"34","RPS7",0,-1.15012068671516,0.189,0.766,0
"35","FAM49A",0,0.509381000759572,0.312,0.096,0
"36","ASXL2",0,0.300286793864994,0.372,0.171,0
"37","CDC42EP3",0,0.271753546671617,0.226,0.077,0
"38","SLC8A1-AS1",0,0.295410558377733,0.161,0.017,0
"39","SLC8A1",0,1.43302594997141,0.305,0.052,0
"40","ZFP36L2",0,-0.569477245343174,0.431,0.649,0
"41","RPS27A",0,-1.77648744406527,0.341,0.944,0
"42","CCDC88A",0,0.4873310003329,0.326,0.102,0
"43","ARHGAP25",0,0.420396926009879,0.587,0.352,0
"44","DYSF",0,0.274992883443982,0.124,0.018,0
"45","TMSB10",0,-1.06161630881021,0.396,0.834,0
"46","RPL31",0,-1.04074275490241,0.24,0.766,0
"47","TBC1D8",0,0.256593111677844,0.182,0.055,0
"48","CXCR4",0,-0.701031939300135,0.262,0.581,0
"49","KYNU",0,0.700148508212488,0.303,0.072,0
"50","BAZ2B",0,0.563996758569733,0.487,0.245,0
"51","SESTD1",0,0.334861547352787,0.286,0.113,0
"52","ZNF804A",0,0.350518321384365,0.135,0.025,0
"53","NABP1",0,0.270679436098115,0.257,0.094,0
"54","EEF1B2",0,-0.725918010145516,0.126,0.537,0
"55","KANSL1L",0,0.348680342649258,0.341,0.131,0
"56","RPL37A",0,-1.58402672227084,0.277,0.909,0
"57","SLC11A1",0,0.511713197772572,0.234,0.026,0
"58","PID1",0,0.963544002933473,0.206,0.027,0
"59","PTMA",0,-0.919305513904227,0.529,0.857,0
"60","ATG7",0,0.605723404525642,0.513,0.266,0
"61","RPL32",0,-1.44634566666574,0.251,0.875,0
"62","UBE2E2",0,0.646291018387253,0.427,0.218,0
"63","RPL15",0,-1.17342253105073,0.18,0.775,0
"64","RPSA",0,-1.12156366577477,0.24,0.781,0
"65","RPL14",0,-1.02411775694124,0.224,0.751,0
"66","RPL29",0,-1.12125340925851,0.125,0.717,0
"67","FRMD4B",0,0.337820460306694,0.204,0.053,0
"68","MTRNR2L12",0,2.45343635903128,0.993,0.659,0
"69","RPL24",0,-0.916018161130313,0.193,0.693,0
"70","CD86",0,0.258950226186244,0.151,0.029,0
"71","DNAJC13",0,0.295028849107712,0.304,0.115,0
"72","PLSCR1",0,0.366023951731043,0.231,0.053,0
"73","ANKUB1",0,0.481927582577109,0.431,0.181,0
"74","RNF13",0,0.451042439049454,0.539,0.315,0
"75","MBNL1",0,0.955436358589338,0.994,0.946,0
"76","MBNL1-AS1",0,0.277323858120624,0.214,0.044,0
"77","RPL35A",0,-1.28818246526636,0.228,0.828,0
"78","RPL9",0,-1.30563274931511,0.23,0.835,0
"79","RBM47",0,0.642007941714195,0.27,0.044,0
"80","PF4",0,0.26942848166623,0.173,0.004,0
"81","PPBP",0,0.429610619445114,0.27,0.005,0
"82","BMP2K",0,0.52799715239163,0.355,0.134,0
"83","ANTXR2",0,0.464489449620175,0.439,0.236,0
"84","WDFY3",0,0.587397353180955,0.25,0.029,0
"85","ARHGAP24",0,0.912385915454498,0.333,0.108,0
"86","DAPP1",0,0.267728729309845,0.243,0.081,0
"87","SGMS2",0,0.275025031973507,0.137,0.008,0
"88","RPL34",0,-1.61825156802294,0.337,0.926,0
"89","SCLT1",0,0.675321730763575,0.514,0.313,0
"90","MAML3",0,0.639591562789026,0.334,0.125,0
"91","TBC1D9",0,0.373548164716564,0.248,0.07,0
"92","IL15",0,0.349672509139899,0.241,0.083,0
"93","RPS3A",0,-1.29145916942914,0.277,0.842,0
"94","TLR2",0,0.738813927306965,0.271,0.036,0
"95","MARCH1",0,1.02293476468457,0.399,0.114,0
"96","DDX60L",0,0.319779593770477,0.373,0.175,0
"97","ACSL1",0,0.423634218774931,0.22,0.076,0
"98","FYB1",0,0.557407351959776,0.806,0.677,0
"99","RPL37",0,-1.39607984058603,0.284,0.876,0
"100","MAP3K1",0,0.533996053315215,0.647,0.433,0
"101","ZSWIM6",0,0.711201448361638,0.522,0.313,0
"102","NAIP",0,0.290880816622881,0.245,0.072,0
"103","BTF3",0,-0.415782491165326,0.116,0.378,0
"104","POLK",0,0.306412542563256,0.329,0.139,0
"105","S100Z",0,0.301173004337887,0.164,0.02,0
"106","RPS23",0,-1.51831898228062,0.251,0.886,0
"107","VCAN",0,2.11761650044438,0.42,0.043,0
"108","VCAN-AS1",0,0.469797191486797,0.173,0.008,0
"109","COX7C",0,-0.450206704170844,0.142,0.418,0
"110","RASA1",0,0.493457244832592,0.591,0.327,0
