"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PPBP",1.06739971273556e-270,0.421337946425518,0.268,0.004,3.26634986094209e-266
"LYZ",9.60968398457167e-239,0.627152104619083,0.457,0.037,2.94065939611878e-234
"PLCG2",4.20130128603517e-222,2.24932261149091,1,0.869,1.28564020653962e-217
"PF4",2.32433505048957e-211,0.26924160084017,0.187,0.001,7.11269768800313e-207
"RPL41",4.48601027383276e-189,-1.90837429762113,0.389,0.97,1.37276400389556e-184
"RPS27",5.51983010521164e-181,-1.78431648254066,0.422,0.969,1.68912321049581e-176
"RPL13",2.02092511724113e-177,-1.75320518746493,0.457,0.975,6.18423295126957e-173
"RPS11",1.66688341817806e-176,-1.72442748110309,0.361,0.951,5.10082994796669e-172
"RPS18",1.12996891309568e-174,-1.76736712988344,0.29,0.932,3.45781787096409e-170
"RPL13A",1.85632958793522e-173,-1.70790740517495,0.465,0.969,5.68055417204057e-169
"HIST1H1E",3.25971392108467e-171,0.757401241183029,0.591,0.106,9.97505056991121e-167
"RPL28",2.07445612788423e-169,-1.70332485049324,0.265,0.921,6.34804319693855e-165
"RPL10",5.1077397977014e-168,-1.68601328808443,0.364,0.944,1.5630194554946e-163
"RPLP2",3.59397847824135e-164,-1.59057888387623,0.379,0.941,1.09979335412664e-159
"RPL30",3.97403998066413e-164,-1.61655564363045,0.308,0.926,1.21609597448303e-159
"RPLP1",2.10392970422069e-163,-1.63273872633028,0.467,0.955,6.43823528788574e-159
"RPS27A",2.03018736303069e-161,-1.56777899606282,0.407,0.944,6.21257634961021e-157
"RPS12",6.92863486119195e-161,-1.62444744478742,0.293,0.928,2.12023155387335e-156
"MTRNR2L12",1.04523612826537e-159,2.06786557830467,0.995,0.717,3.19852707610485e-155
"RPS16",4.89600178058881e-159,-1.5766527286802,0.26,0.894,1.49822550487798e-154
"RPS19",3.69977639917253e-156,-1.56705988333429,0.288,0.901,1.13216857591078e-151
"RPL18A",6.60968464633385e-153,-1.52618528807249,0.242,0.894,2.02262959862462e-148
"RPS14",1.25993713617476e-152,-1.55098957853673,0.265,0.889,3.85553363040839e-148
"RPS2",3.67517024618889e-152,-1.51206302430927,0.447,0.932,1.12463884703626e-147
"RPL11",1.88868958287931e-149,-1.46452609811834,0.394,0.913,5.77957899256898e-145
"RPL19",6.10190797017667e-149,-1.46067703219622,0.293,0.898,1.86724485795376e-144
"RPL37A",3.05683651629019e-147,-1.46640621360637,0.333,0.907,9.3542254234996e-143
"RPL34",2.1741716896771e-145,-1.44890625116712,0.391,0.919,6.65318278758091e-141
"RPL39",1.23818164454526e-143,-1.44510431306627,0.245,0.869,3.78895965047295e-139
"RPS29",2.29484571601976e-141,-1.42068138339476,0.417,0.922,7.02245737559206e-137
"FAU",1.01107406968923e-139,-1.38830819536119,0.265,0.866,3.09398776065602e-135
"RPS23",1.19360026414212e-139,-1.40109831619608,0.316,0.899,3.6525361683013e-135
"RPS15",2.01807968700986e-139,-1.39461781591703,0.255,0.864,6.17552565021887e-135
"RPL18",2.47108301824293e-138,-1.38470667853329,0.26,0.863,7.5617611441252e-134
"RPL27A",3.19087407133773e-138,-1.39496905103895,0.275,0.866,9.76439374570057e-134
"RPS28",7.86716205573742e-137,-1.40798906503532,0.313,0.878,2.40743026067621e-132
"RPS3",1.20900912021892e-134,-1.37618070370219,0.24,0.841,3.69968880878192e-130
"RPL21",2.01825818196185e-129,-1.27526629017818,0.381,0.897,6.17607186262145e-125
"EEF1A1",5.35056985124418e-128,-1.21637492160985,0.614,0.954,1.63732788017923e-123
"RPL32",5.52836195263699e-128,-1.27934544817266,0.29,0.864,1.69173404112644e-123
"S100A9",1.57112065246291e-127,0.39056659051269,0.301,0.031,4.80778630860175e-123
"VCAN",4.72292882936183e-127,0.567699776549743,0.24,0.018,1.44526345107301e-122
"RPS15A",4.47031360852563e-126,-1.29532754814945,0.293,0.866,1.36796066734493e-121
"B2M",1.39990135118127e-124,-1.20006873773789,0.957,0.994,4.2838381247498e-120
"RPL37",1.83897379268065e-123,-1.27172052517264,0.316,0.872,5.62744370298206e-119
"MARCH1",3.64190616368138e-123,1.25933711453014,0.972,0.658,1.11445970514814e-118
"MT-CO3",4.32279829779384e-123,-1.13538199400391,0.975,1,1.32281950710789e-118
"RPL3",2.23257551164169e-122,-1.29457139869932,0.326,0.86,6.83190432317472e-118
"RPL23A",1.09509790823621e-120,-1.23768682405996,0.293,0.859,3.35110910899364e-116
"RPS21",7.26156654118031e-120,-1.28550425638547,0.306,0.838,2.22211197726659e-115
"RPS25",3.63932132985314e-116,-1.19579021118482,0.25,0.828,1.11366872014836e-111
"RPS8",1.3193784977791e-115,-1.18557078132352,0.308,0.859,4.03743014105382e-111
"RPL9",8.2767857060139e-115,-1.20554428536145,0.275,0.823,2.53277919389731e-110
"RPS6",1.62164736443909e-114,-1.19393734951662,0.389,0.865,4.96240309992006e-110
"RPS20",2.21721333514774e-114,-1.19350001110054,0.288,0.831,6.78489452688559e-110
"RPS17",1.56689643799149e-112,-1.20881350463536,0.263,0.803,4.79485978989775e-108
"MBNL1",5.094754296043e-111,1.00504420179071,0.992,0.917,1.55904576213212e-106
"RPS3A",2.82595567787335e-110,-1.14382812839015,0.318,0.84,8.64770696986022e-106
