"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LYZ",1.52770326497833e-100,0.589940437832148,0.478,0.034,4.67492476116019e-96
"PLCG2",9.32301609106874e-83,1.95894465008623,1,0.927,2.85293615402795e-78
"RPL41",1.17832183697725e-76,-1.91309232358212,0.369,0.974,3.60578265333407e-72
"RPL10",6.96885752246903e-73,-1.83477894353663,0.312,0.955,2.13254009045075e-68
"RPL13",1.65143990199979e-72,-1.80611039247476,0.395,0.975,5.05357124410954e-68
"RPS18",2.03658359943857e-72,-1.85228932577116,0.312,0.945,6.23214947264198e-68
"RPL28",3.49767186549311e-72,-1.73483924448593,0.255,0.942,1.07032256755955e-67
"RPS11",4.83065731399282e-72,-1.71495532481956,0.395,0.965,1.47822944465494e-67
"RPL13A",5.90079066718006e-71,-1.76137985558724,0.446,0.974,1.80570095206377e-66
"RPS27",7.44880641835533e-70,-1.70257734846333,0.414,0.973,2.27940925208092e-65
"RPL11",9.27875913906074e-70,-1.62962724482483,0.318,0.946,2.83939308414398e-65
"RPS14",1.77450094095378e-69,-1.6600279075535,0.217,0.93,5.43015032941267e-65
"RPL30",4.11011726447979e-69,-1.66108845284082,0.255,0.934,1.25773698410346e-64
"RPLP2",1.32390769512709e-68,-1.65787449631815,0.312,0.958,4.0512899378584e-64
"RPLP1",1.46475355166591e-68,-1.68495274235013,0.471,0.966,4.48229234345284e-64
"RPL27A",1.58088535407779e-68,-1.558132963994,0.21,0.913,4.83766727201344e-64
"PPBP",2.31077468830533e-68,0.39223701185796,0.223,0.006,7.07120162368314e-64
"B2M",4.52142315620864e-68,-1.41969822352659,0.987,0.994,1.38360070003141e-63
"RPS16",1.50272851686798e-67,-1.58937397954473,0.274,0.92,4.59849953446771e-63
"RPS2",2.18042879180191e-67,-1.62176835876145,0.408,0.952,6.67233014579304e-63
"RPS12",2.60419867962006e-66,-1.61988814413619,0.287,0.943,7.96910837950535e-62
"RPS27A",3.82480011010781e-65,-1.51686606556436,0.395,0.953,1.17042708169409e-60
"HIST1H1E",3.12162738895607e-64,0.628667841167121,0.561,0.094,9.55249197294449e-60
"RPS3",7.78285313505754e-64,-1.47800498804295,0.242,0.896,2.38163088785896e-59
"MTRNR2L12",8.7887430356833e-64,2.21124107829574,1,0.733,2.68944325634945e-59
"RPS15",1.58675111358894e-62,-1.44980442163745,0.229,0.895,4.85561708269351e-58
"RPS19",1.7039087187786e-62,-1.44613610680738,0.274,0.92,5.21413107033441e-58
"RPL19",1.88646677097559e-62,-1.47405299793877,0.242,0.926,5.77277696586242e-58
"RPL39",2.67637959789652e-61,-1.40607953095384,0.21,0.896,8.18998920752315e-57
"RPS29",2.87554929977102e-61,-1.42604516965416,0.376,0.934,8.79946841222928e-57
"RPL18",3.71292702371626e-61,-1.43888233394411,0.217,0.879,1.13619279852741e-56
"RPL34",4.66776188610479e-61,-1.47019129859366,0.344,0.931,1.42838181476693e-56
"RPS28",4.85467317987699e-61,-1.45212370773652,0.28,0.901,1.48557853977416e-56
"RPL18A",2.2903460024149e-60,-1.38579294950791,0.248,0.901,7.00868780198983e-56
"RPS23",2.44500798473845e-60,-1.41844458897147,0.28,0.916,7.48196893409813e-56
"RPS15A",1.2881159450737e-58,-1.35475721300448,0.255,0.905,3.94176360352003e-54
"RPL37A",3.62702744237967e-58,-1.36312184048353,0.261,0.912,1.1099066676426e-53
"RPL3",4.22997210046059e-58,-1.37903511015997,0.357,0.898,1.29441376246195e-53
"RPS5",1.71348889410336e-57,-1.30801057400948,0.089,0.792,5.2434473648457e-53
"FAU",5.91624641659003e-57,-1.33313297509731,0.287,0.884,1.81043056594071e-52
"RPS20",6.16003839809082e-57,-1.33206096557013,0.261,0.88,1.88503335019977e-52
"NRGN",1.20394816687548e-56,0.282780439757439,0.185,0.005,3.68420178545567e-52
"RPS21",2.35646049879167e-56,-1.30840819258538,0.21,0.86,7.2110047723524e-52
"RPL21",5.33784850715654e-54,-1.30785726254912,0.331,0.896,1.63343502167497e-49
"HLA-B",7.66827345301495e-53,-1.1575720231408,0.688,0.966,2.34656835935711e-48
"RPL23A",4.11435328830468e-52,-1.21295434565524,0.287,0.893,1.25903324975411e-47
"RPS4X",6.12383472387601e-52,-1.30261023515662,0.204,0.827,1.8739546638533e-47
"PF4",7.384412020546e-52,0.262324598680357,0.159,0.004,2.25970392240728e-47
"RPL32",8.53384552471761e-52,-1.22992515961985,0.255,0.881,2.61144206901884e-47
"RPS17",1.29131393429875e-51,-1.16647063237709,0.178,0.821,3.9515497703476e-47
"RPS25",1.98914511378225e-51,-1.19526556789589,0.261,0.87,6.08698296268508e-47
"RPL17",2.70044964258409e-51,-1.20122973101649,0.293,0.872,8.26364595127158e-47
"RPL37",1.4353853891945e-50,-1.20857624814332,0.274,0.873,4.39242282947408e-46
"EEF1A1",2.01595475133307e-50,-1.19993680279599,0.58,0.966,6.16902313455431e-46
"RPS6",2.61628705228054e-50,-1.19138161248558,0.338,0.905,8.0061000086837e-46
"RPS3A",9.54444211731149e-50,-1.19346986285171,0.274,0.877,2.92069473231849e-45
"RPS9",2.03684610369546e-49,-1.14085195743613,0.223,0.805,6.23295276191846e-45
"RPL15",5.91978453294938e-49,-1.14746824592252,0.172,0.787,1.81151326492784e-44
