"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PPBP",5.14980820037683e-95,0.450498278073444,0.32,0.004,1.57589280739731e-90
"PF4",1.60959634157054e-66,0.305547109423251,0.227,0.003,4.92552576484001e-62
"NRGN",7.96050003180168e-55,0.290747984578286,0.187,0.003,2.43599261473163e-50
"LYZ",2.85114569245327e-53,0.512187014045783,0.427,0.034,8.72479093347624e-49
"VCAN",1.3130013165743e-45,0.317229528727523,0.24,0.01,4.01791532884902e-41
"PLCG2",1.43376109559879e-42,2.28357358199166,0.987,0.926,4.38745232864186e-38
"RPS18",2.20813011840391e-41,-2.05602946254343,0.373,0.984,6.7570989753278e-37
"RPL30",2.91216249729402e-41,-1.99802681942657,0.227,0.974,8.91150845796944e-37
"RPL41",4.20182577226445e-41,-2.04053362493529,0.493,0.994,1.28580070457064e-36
"RPS11",6.97869203760002e-41,-2.05061463250159,0.333,0.982,2.13554955042598e-36
"RPS14",1.48996115790046e-40,-1.92545852777945,0.253,0.971,4.55943013929119e-36
"RPL10",2.25654761133841e-40,-1.86802179686706,0.44,0.984,6.90526134545666e-36
"RPS12",4.20773428082725e-40,-2.00967473625207,0.24,0.978,1.28760876727595e-35
"RPL13A",1.56881970661187e-39,-1.91392066377985,0.467,0.994,4.80074518420299e-35
"RPL18A",4.70484523322942e-39,-1.81974943377038,0.173,0.951,1.43972968982053e-34
"RPS27",7.42149271161332e-39,-1.91520654281442,0.44,0.99,2.27105098468079e-34
"RPS16",1.01917730227049e-38,-1.82756716753398,0.253,0.958,3.11878446267793e-34
"RPS19",1.6647104417746e-38,-1.81020050980445,0.253,0.938,5.09418042287444e-34
"RPL11",3.32478847105144e-38,-1.77089626842325,0.387,0.974,1.01741852002645e-33
"RPS27A",4.50581851989298e-38,-1.75854421884263,0.453,0.977,1.37882552527245e-33
"RPS28",6.97792937423919e-38,-1.73115650250765,0.307,0.947,2.13531616781093e-33
"RPL28",9.06349246180727e-38,-1.81160831279352,0.373,0.965,2.77351932823764e-33
"RPS2",9.61745482757471e-38,-1.73394537966791,0.493,0.983,2.94303735178614e-33
"RPL27A",3.22008881780978e-37,-1.63311138478786,0.28,0.956,9.85379379137971e-33
"RPS15",6.69365720623313e-37,-1.71085484935871,0.187,0.946,2.0483260416794e-32
"RPS3",1.04628343643256e-36,-1.64462507417263,0.267,0.942,3.20173194382728e-32
"RPS23",1.08452887001413e-36,-1.70749969681006,0.24,0.958,3.31876679513023e-32
"RPLP2",1.11503542361057e-36,-1.72995404969072,0.44,0.983,3.41211989979071e-32
"RPL13",1.97228241606931e-36,-1.79574339279682,0.48,0.991,6.03538142141369e-32
"MTRNR2L12",2.98347637578321e-36,2.33762352707676,1,0.765,9.12973605753421e-32
"FAU",4.08004615369697e-36,-1.61672661365704,0.24,0.934,1.24853492349281e-31
"RPLP1",5.22665577657904e-36,-1.69128646883026,0.627,0.993,1.59940893419095e-31
"RPS29",1.40138706777492e-35,-1.63337889280309,0.32,0.965,4.28838456609802e-31
"RPL18",2.33810547037817e-35,-1.59122939934729,0.293,0.933,7.15483654990422e-31
"RPL19",1.04693992833058e-34,-1.64431240929443,0.333,0.954,3.20374087468442e-30
"RPL9",1.79315748461947e-34,-1.52582299577933,0.187,0.905,5.48724121868404e-30
"RPL39",1.87796068687488e-34,-1.62283088373661,0.227,0.931,5.74674749790583e-30
"RPL21",1.9302493464496e-34,-1.58709917012102,0.32,0.953,5.90675602507042e-30
"RPL34",2.20554715137055e-34,-1.65066938024013,0.307,0.965,6.74919483790902e-30
"RPS6",3.91113933539624e-33,-1.47872419952131,0.347,0.945,1.1968477480246e-28
"RPS15A",4.26826599768698e-33,-1.49211979289035,0.28,0.948,1.30613207795219e-28
"RPS20",6.0696799196051e-33,-1.49684487251879,0.253,0.928,1.85738275219836e-28
"RPL23A",6.18961098037703e-33,-1.52479117333757,0.28,0.943,1.89408285610517e-28
"RPL37A",1.34000708288061e-32,-1.56537699883249,0.32,0.946,4.10055567432296e-28
"RPL3",3.98909239242849e-32,-1.45019294448756,0.4,0.946,1.22070216300704e-27
"RPS4X",6.62465701247701e-32,-1.52095446476983,0.24,0.903,2.02721129238809e-27
"RPL37",6.81300731213826e-32,-1.519624071214,0.32,0.917,2.08484836758743e-27
"RPS17",1.28205530663672e-31,-1.50289286902644,0.147,0.864,3.92321744383902e-27
"RPL35A",3.1701347627899e-31,-1.44261235565312,0.213,0.879,9.70092938761337e-27
"B2M",4.23305182979994e-31,-1.27822918830099,0.973,0.998,1.29535619043708e-26
"EEF1A1",6.74931630737714e-31,-1.39797470235741,0.627,0.99,2.06535828322048e-26
"RPS8",1.10218754186832e-30,-1.37679534816388,0.307,0.942,3.37280409687124e-26
"RPS25",1.41641792989292e-30,-1.34962521153774,0.28,0.925,4.33438050726533e-26
"RPS13",2.24896831319566e-30,-1.40074585427813,0.187,0.878,6.88206793521003e-26
"RPL32",2.69689686746418e-30,-1.37652599287531,0.28,0.929,8.25277410412714e-26
"RPS5",3.00916901072051e-30,-1.33878750683269,0.187,0.863,9.20835808970584e-26
"RPL26",6.33507249854342e-30,-1.36502286413258,0.2,0.885,1.93859553527927e-25
"RPS21",9.07646726365549e-30,-1.42834965547911,0.253,0.901,2.77748974735122e-25
"RPL7A",1.16501337194852e-29,-1.33633797312289,0.173,0.846,3.56505741949968e-25
"RPS26",4.70365630436586e-29,-1.33264424293576,0.24,0.877,1.439365865699e-24
"RPL17",8.16903481135501e-29,-1.31641299280472,0.293,0.91,2.49980634262275e-24
"RPS9",1.26679119557579e-28,-1.30324052108457,0.213,0.863,3.87650773758146e-24
"RPS3A",2.8504946916123e-28,-1.28570393757532,0.333,0.916,8.72279880580281e-24
"HLA-B",2.8804288814374e-28,-1.1530290748005,0.8,0.977,8.8144004200866e-24
"RPL23",7.50091149047418e-28,-1.28933075409706,0.253,0.873,2.2953539252e-23
"RPL36A",1.87499141307989e-27,-1.30987543463834,0.147,0.815,5.73766122316577e-23
"RPL12",2.57592068352895e-27,-1.20921545952697,0.173,0.839,7.88257488366694e-23
"RPL29",3.43986915439563e-27,-1.25826601013659,0.133,0.805,1.05263435993661e-22
"RPL10A",6.38380298246179e-27,-1.24294001081675,0.227,0.846,1.95350755066313e-22
"UBA52",9.05968319387183e-27,-1.21941088433798,0.16,0.799,2.77235365415672e-22
"RPL15",9.20334037445475e-27,-1.2496098110667,0.213,0.848,2.8163141879869e-22
"RPS7",1.25593041987026e-26,-1.2159029735979,0.24,0.852,3.84327267784498e-22
"TPT1",3.07583811229168e-26,-1.23532337064607,0.347,0.903,9.41237220742377e-22
"RPL36",3.09085209320795e-26,-1.19818556080279,0.187,0.835,9.45831649042563e-22
"RPL7",4.39205274785133e-26,-1.17245084229208,0.133,0.801,1.34401206136999e-21
"RPL8",3.61263586041059e-25,-1.16725262159178,0.227,0.839,1.10550269964425e-20
"RPL27",6.24825830784857e-25,-1.14672875092746,0.147,0.775,1.91202952478474e-20
"RPL31",2.26087477390035e-24,-1.14761553249943,0.24,0.821,6.91850289561245e-20
"MT-CO3",3.88773028038353e-24,-0.962007840827406,0.987,1,1.18968434310016e-19
"RPL14",6.9127838810367e-24,-1.09145103719206,0.253,0.842,2.11538099543604e-19
"RPS24",1.01063683160869e-23,-1.13037373676776,0.32,0.857,3.09264976840575e-19
"RPSA",2.36131454033454e-23,-1.11579702760065,0.44,0.856,7.22585862487772e-19
"TMSB4X",3.22384704329875e-23,-1.16624973210529,0.667,0.928,9.86529433719851e-19
"RACK1",2.63503042554783e-22,-1.06046556785556,0.147,0.733,8.06345660521892e-18
"RPL24",7.83978683436149e-22,-0.99362860758175,0.133,0.74,2.39905316918296e-17
"AC009061.2",2.63742910630191e-21,0.326325483631613,0.267,0.035,8.07079680819447e-17
"RPL5",3.702705950954e-21,-0.989524209249013,0.293,0.836,1.13306504805143e-16
"HLA-C",1.14871476301502e-20,-0.992771285314354,0.493,0.889,3.51518204630227e-16
"RIPOR2",1.22332357562272e-20,0.907708079733889,1,0.917,3.74349247376309e-16
"HLA-DRA",1.52796450430788e-20,-1.09280233217837,0.84,0.952,4.67572417963255e-16
"RPL35",1.13641002300589e-19,-0.973740109582913,0.16,0.735,3.47752831140031e-15
"RPL38",1.59330702408253e-19,-0.962400805548376,0.213,0.767,4.87567882439496e-15
"EIF1",8.7732362784134e-19,-0.960501613621429,0.427,0.851,2.68469803355728e-14
"STX7",4.49648402248386e-18,0.828573034317076,0.773,0.367,1.37596907572029e-13
"MT-CO2",1.42201472947303e-17,-0.785178403162588,0.96,1,4.35150727366043e-13
"MT-ND3",1.60147126207669e-16,-0.809379685233327,0.987,0.999,4.90066220908089e-12
"CD74",1.86474952650553e-16,-0.823835251023444,0.96,0.99,5.70632002605956e-12
"EEF1B2",1.88552221074078e-16,-0.8526080181007,0.2,0.693,5.76988651708786e-12
"RPLP0",2.04763464158537e-16,-0.87069979193693,0.253,0.712,6.2659667667154e-12
"S100A9",2.13025743329113e-16,0.27390298886894,0.227,0.034,6.51880077161418e-12
"EEF1G",4.06713996146697e-16,-0.848734123870213,0.28,0.741,1.24458549960851e-11
"LTB",6.90564257795438e-16,-0.974877433284612,0.4,0.777,2.11319568527982e-11
"HLA-A",7.03878143923656e-16,-0.89674490776179,0.52,0.862,2.15393750822078e-11
"MARCH1",1.58712070944023e-15,1.13033872364502,0.867,0.607,4.85674808295806e-11
"BANK1",1.70923913927262e-15,0.746571510961519,0.987,0.988,5.23044269008816e-11
"TLR6",4.50365929357006e-15,0.288920505269247,0.253,0.045,1.37816478042537e-10
"RPL6",5.17712472228914e-15,-0.792568707386467,0.347,0.793,1.5842519362677e-10
"CD79A",8.45087105463061e-15,-0.877668188999119,0.44,0.77,2.58605105142751e-10
"MT-ND1",9.87022408629868e-15,-0.781468822622151,0.947,0.999,3.02038727264826e-10
"TMSB10",2.35045278392847e-14,-0.856553628329512,0.387,0.78,7.19262056409951e-10
"MEF2C",3.16352185811353e-14,0.875736330091161,0.96,0.848,9.68069323801321e-10
"RPL22",3.27568351624236e-14,-0.767645458906731,0.2,0.664,1.00239191280532e-09
"ST8SIA4",4.36846086591497e-14,0.732625677379049,0.613,0.261,1.33679270957864e-09
"COL4A3",4.53545374906534e-14,0.650361143181747,0.733,0.358,1.38789420175149e-09
"H3F3B",7.31205421049796e-14,-0.809281352697063,0.307,0.708,2.23756170895448e-09
"NACA",1.40563456348237e-13,-0.717160950976678,0.227,0.669,4.30138232771239e-09
"BLK",1.8606250512932e-13,0.689097178058751,0.947,0.774,5.69369871946231e-09
"AC025887.2",1.8771579613872e-13,0.267791035882124,0.147,0.018,5.74429107764096e-09
"WASHC4",2.04936164258314e-13,0.576883507068138,0.813,0.428,6.27125156246866e-09
