"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DPYD",0,1.11430674537318,0.999,0.996,0
"MT-CO3",7.24250547330201e-250,-0.997056314761566,0.989,1,2.21627909988515e-245
"HLA-B",2.66612483141199e-235,-1.08265483133357,0.55,0.905,8.15860859660384e-231
"MT-ND3",6.12463144123786e-235,-0.982432235590574,0.979,0.999,1.8741984673332e-230
"MBNL1",1.56873551802276e-226,0.921639694633668,0.993,0.942,4.80048755870146e-222
"MT-CO2",4.05832099626946e-220,-0.935205374723544,0.989,0.999,1.24188680806842e-215
"PLXDC2",9.60815917028237e-214,0.904855433170563,0.984,0.864,2.94019278769811e-209
"RPL41",4.94229413247329e-206,-1.15606582516634,0.259,0.718,1.51239142747815e-201
"MT-ND1",1.54670852829627e-205,-0.987236185022914,0.976,0.997,4.73308276743941e-201
"MT-CYB",5.22230032723583e-202,-0.863953834945999,0.968,0.998,1.59807612313744e-197
"RPS11",8.94316033401143e-201,-1.11630942920349,0.204,0.667,2.73669649381084e-196
"RPL13",1.01976278505859e-199,-1.12270837419355,0.28,0.731,3.12057609855779e-195
"RPL13A",1.70627522008838e-195,-1.07003115242102,0.249,0.709,5.22137280099244e-191
"RPS27",1.36893106157717e-194,-1.03254776126021,0.232,0.694,4.1890659415323e-190
"RPL37A",7.86743938498623e-192,-0.998001435982254,0.171,0.64,2.40751512619964e-187
"DLEU2",1.36592158955313e-189,0.938156580142577,0.866,0.519,4.17985665619154e-185
"RPL10",6.45752545745674e-189,-0.961197425903829,0.201,0.665,1.97606736523634e-184
"RPS2",3.74077669228962e-187,-1.06606161843352,0.226,0.671,1.14471507560755e-182
"RPS14",3.86002764221338e-187,-0.97414958162708,0.154,0.612,1.18120705879372e-182
"RPS12",1.77965025280262e-184,-0.940713823237738,0.184,0.643,5.4459077386013e-180
"RPLP2",2.92207742327537e-184,-0.970296865757569,0.22,0.676,8.94184912296496e-180
"MT-ND2",8.41312431007021e-183,-0.835954133581307,0.959,0.995,2.57450017012459e-178
"RPS16",8.42861986168782e-182,-0.90060942661114,0.146,0.602,2.57924196387509e-177
"USP15",2.44111824385795e-181,0.831532611410052,0.991,0.926,7.47006593802973e-177
"ARHGAP24",1.75924327419188e-180,1.07594287891688,0.817,0.458,5.38346034335457e-176
"EEF1A1",9.21462254155548e-179,-1.04937765752281,0.469,0.826,2.81976664394139e-174
"RPS18",1.46728519814447e-178,-0.960086256816274,0.18,0.628,4.49003943484191e-174
"RPL28",1.57332454289471e-175,-0.937735613798933,0.177,0.624,4.81453043371211e-171
"RPS19",5.41407117009287e-175,-0.866243389361944,0.144,0.592,1.65675991876012e-170
"TRPS1",3.12283823946751e-172,0.96731000389115,0.891,0.589,9.55619729659454e-168
"B2M",4.87451777207661e-172,-1.09679900864272,0.87,0.95,1.49165118343316e-167
"RPL30",6.56867048894235e-172,-0.837475421093719,0.174,0.618,2.01007885632125e-167
"RPL34",1.48587635560935e-171,-0.948287234259291,0.228,0.662,4.54693023580017e-167
