"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPL11",0,-1.75719056529387,0.398,0.96,0
"RPS27",0,-2.17797133292407,0.466,0.989,0
"RPS27A",0,-1.90799698252603,0.461,0.979,0
"RPL37A",0,-1.7308688593299,0.327,0.947,0
"MTRNR2L12",0,2.70197519263984,0.988,0.596,0
"PPBP",0,0.353161607946211,0.255,0.003,0
"RPL34",0,-1.74584608249803,0.471,0.966,0
"VCAN",0,0.340549934891638,0.246,0.01,0
"RPS14",0,-1.96595171327069,0.359,0.971,0
"RPS18",0,-2.03697143022675,0.364,0.972,0
"EEF1A1",0,-1.66981052000646,0.602,0.984,0
"RPS12",0,-2.08926411651366,0.382,0.978,0
"RPL30",0,-1.99561549597491,0.382,0.973,0
"RPLP2",0,-2.02900087188323,0.423,0.978,0
"RPS3",0,-1.67907543125449,0.327,0.936,0
"RPL41",0,-2.15422609261363,0.483,0.989,0
"LYZ",0,0.718004234555529,0.515,0.037,0
"RPS29",0,-1.64282183701191,0.506,0.967,0
"RPLP1",0,-1.87767566379553,0.526,0.979,0
"RPS2",0,-1.76919455680021,0.513,0.975,0
"RPS15A",0,-1.68749174615313,0.347,0.94,0
"PLCG2",0,2.10934607139621,0.994,0.61,0
"RPL13",0,-2.03046918277108,0.538,0.988,0
"RPL19",0,-1.77667842605539,0.303,0.949,0
"RPS28",0,-1.81133192173746,0.3,0.951,0
"RPS16",0,-1.82958026448849,0.334,0.955,0
"RPS19",0,-1.68682655146881,0.281,0.934,0
"RPL13A",0,-1.95733046773449,0.474,0.983,0
"RPS11",0,-1.74959128813686,0.37,0.951,0
"RPL28",0,-1.97716789099287,0.316,0.963,0
"RPL39",0,-1.72372156870062,0.259,0.926,0
"RPL10",0,-2.0461704609284,0.38,0.975,0
"RPS15",2.1192615688802e-306,-1.63869142789766,0.258,0.922,6.48515232693031e-302
"RPL18A",1.79761564277441e-304,-1.65317115660278,0.274,0.92,5.50088362845396e-300
"RPL27A",1.7310620106398e-303,-1.59533555765808,0.3,0.926,5.29722285875886e-299
"RPS21",1.50118618151346e-299,-1.63184864435813,0.299,0.922,4.59377983404933e-295
"RPS23",1.14626632524196e-296,-1.59691761764843,0.351,0.934,3.50768958187291e-292
"RPL32",4.4387201545024e-295,-1.59349614703785,0.344,0.929,1.35829275447928e-290
"RPL21",1.04803818715436e-293,-1.56639252361851,0.395,0.94,3.20710165651106e-289
"RPL18",1.48321545307325e-290,-1.55203486358057,0.329,0.922,4.53878760794946e-286
"RPS25",1.09067987941595e-289,-1.54653061346836,0.327,0.92,3.33758949900073e-285
"MTRNR2L8",1.58825694108105e-286,0.84211797344995,0.672,0.151,4.86022506540212e-282
"RPL37",1.24450575841765e-282,-1.52464636413057,0.391,0.929,3.80831207133385e-278
"RPS20",2.59960032834966e-278,-1.49995219395983,0.302,0.907,7.95503696478279e-274
"RPS6",2.02368594820527e-276,-1.46996344459609,0.436,0.936,6.19268137010295e-272
"RPS3A",2.43860811931631e-276,-1.49274850824487,0.353,0.913,7.46238470591983e-272
"TPT1",2.87674397136889e-264,-1.44498170356436,0.366,0.917,8.80312422678593e-260
"FAU",4.81472442892156e-264,-1.46175512019421,0.292,0.891,1.47335382249429e-259
"RPL3",1.85782208407815e-263,-1.42924101419913,0.404,0.921,5.68512135948756e-259
"RPL35A",2.6905178222321e-262,-1.42968541342947,0.281,0.887,8.23325358781245e-258
