"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPL11",0,-1.73709137883521,0.33,0.952,0
"RPS8",0,-1.39013029013598,0.272,0.892,0
"RPS27",0,-2.06320579031545,0.413,0.98,0
"RPS7",0,-1.22345203907278,0.214,0.817,0
"RPS27A",0,-1.87973588794452,0.383,0.968,0
"CAVIN2",0,0.263656276208522,0.173,0.002,0
"RPL37A",0,-1.6633621419451,0.296,0.941,0
"RPL32",0,-1.54311422830426,0.266,0.915,0
"RPL15",0,-1.23598155078821,0.16,0.794,0
"RPL29",0,-1.22794116433061,0.128,0.771,0
"MTRNR2L12",0,2.15057087643851,0.993,0.655,0
"RPL35A",0,-1.39119364688835,0.239,0.873,0
"RPL9",0,-1.38926115746775,0.237,0.872,0
"PF4",0,0.272898492217689,0.185,0.003,0
"PPBP",0,0.463411070157074,0.325,0.004,0
"RPL34",0,-1.69105923202499,0.353,0.953,0
"RPS3A",0,-1.38699605483622,0.27,0.883,0
"RPL37",0,-1.46922495015121,0.298,0.914,0
"RPS23",0,-1.59091525201061,0.25,0.915,0
"RPS14",0,-1.97041301645726,0.241,0.958,0
"RPS18",0,-2.0958293596074,0.294,0.968,0
"EEF1A1",0,-1.67846290320525,0.546,0.978,0
"RPS12",0,-2.10335039151355,0.277,0.968,0
"RPS20",0,-1.48345934286155,0.22,0.893,0
"RPL30",0,-1.91673300141591,0.278,0.959,0
"RPS6",0,-1.44569297728887,0.369,0.925,0
"RPLP2",0,-1.92342269235791,0.304,0.969,0
"RPL27A",0,-1.63874029127255,0.232,0.923,0
"RPS13",0,-1.37765250991541,0.174,0.843,0
"FAU",0,-1.42982497932295,0.274,0.889,0
"RPS3",0,-1.65245131470783,0.26,0.923,0
"RPS25",0,-1.47108489999685,0.266,0.904,0
"NRGN",0,0.303275384530916,0.218,0.005,0
"RPS26",0,-1.32366613468846,0.18,0.82,0
"RPL41",0,-2.17510663995074,0.395,0.983,0
"LYZ",0,0.561143045726593,0.425,0.029,0
"RPL21",0,-1.55288757211159,0.31,0.925,0
"TPT1",0,-1.48498339812023,0.319,0.922,0
"RPS29",0,-1.710444760743,0.411,0.964,0
"B2M",0,-1.36937361588943,0.977,0.997,0
"RPLP1",0,-1.86799438399341,0.439,0.973,0
"RPS17",0,-1.4016087336368,0.205,0.851,0
"RPS2",0,-1.78080157855159,0.423,0.966,0
"RPS15A",0,-1.68034671010794,0.242,0.931,0
"PLCG2",0,2.00290687517041,0.996,0.686,0
"RPL13",0,-2.06645595988312,0.458,0.983,0
"RPL26",0,-1.337222647803,0.22,0.86,0
"RPL23A",0,-1.44668272325021,0.303,0.903,0
"RPL23",0,-1.34932922120937,0.186,0.846,0
"RPL19",0,-1.80051234973827,0.218,0.938,0
"RPL17",0,-1.40870055166141,0.285,0.893,0
"RPS15",0,-1.69476663140105,0.184,0.917,0
"RPL36",0,-1.29645781613025,0.203,0.831,0
"RPS28",0,-1.70826217652623,0.282,0.937,0
"RPL18A",0,-1.72508752938536,0.197,0.913,0
"RPS16",0,-1.81287084824895,0.245,0.946,0
"RPS19",0,-1.69555671364151,0.249,0.927,0
"RPL18",0,-1.56677457555024,0.233,0.905,0
"RPL13A",0,-1.98642021516999,0.405,0.979,0
"RPS11",0,-1.81386285373519,0.291,0.951,0
"RPS9",0,-1.30512177388922,0.162,0.824,0
"RPL28",0,-2.01689853961803,0.261,0.962,0
"RPS5",0,-1.20770728112065,0.118,0.759,0
"TUBB1",0,0.262419382822233,0.165,0.005,0
"RPS21",0,-1.53376834001392,0.224,0.896,0
"RPL3",0,-1.52503517285748,0.321,0.922,0
"RPS4X",0,-1.56596939909928,0.188,0.876,0
"RPL36A",0,-1.25085467211426,0.205,0.817,0
"RPL39",0,-1.70116225438279,0.205,0.917,0
"RPL10",0,-2.0873709632147,0.333,0.97,0
"MBNL1",4.91993017025576e-303,1.10177368836282,0.993,0.966,1.50554783139996e-298
"RPL10A",4.3972543863286e-301,-1.18002219534027,0.234,0.812,1.34560381476042e-296
"HIST1H1E",2.90190946272341e-298,0.610827853862544,0.52,0.117,8.8801331468799e-294
"UBA52",3.74805926809322e-297,-1.15222070597067,0.153,0.769,1.14694361662921e-292
"MTRNR2L8",4.16883819652911e-297,0.732507973747088,0.648,0.179,1.27570617651987e-292
"RPL8",1.052956222018e-293,-1.13747373997998,0.149,0.759,3.22215133499727e-289
"RPSA",1.56724479745187e-292,-1.16863582110446,0.266,0.822,4.79592580468247e-288
"TMSB4X",1.13029655656953e-290,-1.27443552526237,0.631,0.952,3.45882049275841e-286
"RPL7A",6.50982563120937e-289,-1.12674255257674,0.174,0.776,1.99207174140638e-284
"RPL31",2.22468481058757e-284,-1.11105134258778,0.24,0.808,6.80775798887901e-280
"RPS24",2.31709463242575e-284,-1.10667156356782,0.263,0.829,7.09054128468603e-280
"RPL7",2.27846317851495e-280,-1.09242810274624,0.161,0.759,6.97232517257359e-276
"RPL12",1.11183146422785e-278,-1.1051351029675,0.176,0.764,3.40231546368364e-274
"AC016074.2",1.79994691597012e-276,0.641843114387349,0.545,0.137,5.50801755756017e-272
"RPL14",2.82139603372683e-276,-1.10313812831339,0.24,0.799,8.63375400280748e-272
"S100A9",1.27383835106248e-272,0.293440303053148,0.233,0.024,3.89807273808631e-268
"RPL38",7.87297602620224e-269,-1.07067613312479,0.218,0.777,2.40920939377815e-264
"RPL5",1.19333598642886e-253,-1.03268065815576,0.321,0.821,3.65172745207096e-249
"HLA-B",7.46994616017203e-253,-1.00919436945347,0.705,0.963,2.28587822447424e-248
"EIF1",2.10334356491809e-239,-0.969479682736449,0.346,0.818,6.43644164300584e-235
"RIPOR2",6.77214014874675e-239,0.941603163406965,0.98,0.896,2.07234260691799e-234
"TMSB10",2.38394713921719e-236,-1.04745699973101,0.377,0.836,7.29511664071852e-232
"HLA-C",2.36574505469997e-233,-1.00787305869109,0.525,0.898,7.23941644188738e-229
"ETS1",4.25243682581359e-233,0.912341756526622,0.936,0.683,1.30128819306722e-228
"MT-CO3",1.31391321366675e-232,-0.942293963348735,0.956,1,4.02070582514163e-228
"RPL24",7.50118387603e-226,-0.947936373324373,0.202,0.725,2.29543727790394e-221
"RPL35",1.78529349143532e-225,-0.956033856405312,0.167,0.702,5.46317661314123e-221
"RPL6",1.42675019869455e-223,-0.941352602851713,0.281,0.774,4.36599828302518e-219
"LINC00861",1.43848963059072e-222,0.882864382206862,0.79,0.385,4.40192211857066e-218
"RPL27",1.26665385558632e-218,-0.965039928925135,0.154,0.68,3.8760874634797e-214
"EEF1G",2.10710219532112e-212,-0.93522667859942,0.122,0.646,6.44794342790215e-208
"MBNL1-AS1",8.30817812857244e-206,0.427957622448604,0.302,0.056,2.54238558912445e-201
"HLA-A",6.53812435648415e-178,-0.826000131317457,0.616,0.906,2.00073143432772e-173
"RACK1",6.33906840279518e-177,-0.829973870239677,0.16,0.624,1.93981832193935e-172
"PFN1",3.54662866834491e-167,-0.825628399963714,0.174,0.624,1.08530383880023e-162
"MT-CO2",1.55892706528849e-165,-0.75187952127231,0.96,1,4.77047271248931e-161
"RPLP0",4.85155003184575e-163,-0.827107328889626,0.191,0.628,1.48462282524512e-158
"MT-ND3",1.74887343247897e-161,-0.765511896423141,0.945,1,5.3517275907289e-157
"ITK",3.55906575683363e-155,0.812715310783013,0.909,0.722,1.08910971224866e-150
"EEF1B2",8.5019601329437e-151,-0.760152538413945,0.133,0.562,2.6016848202821e-146
"PABPC1",9.57401919695528e-151,-0.797402976896249,0.646,0.9,2.92974561446029e-146
"RPL22",1.86131577553784e-150,-0.765101779167179,0.182,0.605,5.69581240472334e-146
"ARHGAP15",2.66677881805628e-148,0.630683687190148,1,0.998,8.16060986113402e-144
"FLI1",4.02287116996935e-147,0.611180430350639,0.642,0.289,1.23103880672232e-142
