"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PPBP",9.00057467548404e-74,0.370396693179412,0.226,0.005,2.75426585644487e-69
"VCAN",1.07349150426135e-47,0.304639867378979,0.208,0.007,3.28499135219016e-43
"PLCG2",6.62390540456598e-34,2.25179694862217,1,0.598,2.02698129285124e-29
"B2M",1.35600720308402e-32,-1.85194047062186,0.962,1,4.14951764215742e-28
"RPL41",3.53429572295172e-31,-2.06983210654601,0.377,0.991,1.08152983418046e-26
"RPS18",8.85812760495498e-31,-1.95433132256446,0.321,0.98,2.71067562839227e-26
"RPS2",8.87139597090873e-29,-1.79924780010976,0.434,0.976,2.71473588105778e-24
"RPS27",1.0324345049095e-28,-1.83861631709146,0.415,0.988,3.15935282847355e-24
"RPL28",1.76661618399299e-28,-1.85486657971691,0.264,0.967,5.40602218463695e-24
"LYZ",2.41162048784399e-28,0.503595585322381,0.321,0.033,7.37979985485141e-24
"RPS27A",3.34965256841648e-28,-1.78387162088394,0.321,0.973,1.02502718246113e-23
"RPS12",2.6360361340551e-27,-1.72529930093664,0.34,0.974,8.06653417382201e-23
"RPS28",3.95984877918389e-27,-1.6581046488582,0.245,0.947,1.21175332491806e-22
"RPL13A",6.99416691549402e-27,-1.67047530412199,0.472,0.986,2.14028501781032e-22
"RPL10",1.11359739367387e-26,-1.70427318846284,0.434,0.978,3.4077193843814e-22
"RPL13",1.3753775994709e-26,-1.74899610113964,0.434,0.986,4.20879299214089e-22
"RPL30",2.15022057810977e-26,-1.60062045517973,0.302,0.962,6.57988999107371e-22
"RPS14",2.6882667364741e-26,-1.62451099941802,0.358,0.965,8.22636504028439e-22
"RPLP2",2.77809366119233e-26,-1.6040016705199,0.377,0.975,8.50124441261466e-22
"RPL11",3.57283020643505e-26,-1.59581833868108,0.358,0.953,1.09332177147119e-21
"MT-ND3",8.97797580723929e-26,-1.55617924120081,0.981,1,2.74735037677329e-21
"RPL27A",1.09232394302164e-25,-1.54911667812111,0.283,0.926,3.34262049804052e-21
"RPLP1",1.24936900637042e-25,-1.63698333316712,0.491,0.985,3.82319409639412e-21
"TMSB4X",1.76370402509472e-25,-1.5017724510286,0.642,0.971,5.39711068719235e-21
"MT-CO3",7.47458296929446e-25,-1.58711402647674,0.943,1,2.2872971344338e-20
"RPS15",8.63793801697722e-25,-1.51477470660648,0.283,0.923,2.6432954125752e-20
"RPS29",2.19105126438998e-24,-1.5060547458208,0.377,0.97,6.70483597415977e-20
"HLA-B",2.49306201861589e-24,-1.36591365789634,0.736,0.984,7.6290190831665e-20
"RPS16",2.52201492121514e-24,-1.47215017827636,0.34,0.955,7.71761786041046e-20
