"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"WNT4",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"TMCO2",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"LINC02607",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"KCNA3",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"WNT2B",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"NR1I3",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"LINC01363",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"FAM89A",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"ABCG8",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC093635.1",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC073046.1",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC068491.3",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"C2CD6",9.12048014347746e-11,0.584962500721156,0.25,0,2.79095812870554e-06
"TMEM198",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"ZKSCAN7",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC137630.4",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC092896.2",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"COL6A5",9.12048014347746e-11,0.807354922057604,0.25,0,2.79095812870554e-06
"AC097522.2",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"MAPK10",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"C5orf64",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC106795.3",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AL031123.5",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"TSBP1",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AL512658.1",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC004982.2",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"ANLN",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"PRSS37",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC245123.1",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC021236.1",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC044893.1",9.12048014347746e-11,0.584962500721156,0.25,0,2.79095812870554e-06
"XKR9",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"SMILR",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC011257.1",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"NUTM2D",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AL139339.1",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC005871.2",9.12048014347746e-11,0.584962500721156,0.25,0,2.79095812870554e-06
"LINC01163",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC009549.1",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC103681.2",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC007535.1",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC024896.1",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC008083.2",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"NPFF",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC020656.1",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC073655.3",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"LINC02457",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"SOHLH2",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"ITGBL1",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AL353704.1",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AL121852.1",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AL122125.1",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"SPTB",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AK7",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"MEGF11",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC012435.3",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC005632.6",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"CLEC3A",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"PPM1E",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC091059.1",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC007998.3",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC100778.4",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC011442.1",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"CILP2",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC008555.1",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC022148.1",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"PVR",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC005757.1",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"ZNF114",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"NTN5",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"FIZ1",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"NLRP5",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"NECAB3",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC253536.6",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AL008719.1",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"Z82217.1",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AL021392.1",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"WNK3",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"MAMLD1",9.12048014347746e-11,0.321928094887362,0.25,0,2.79095812870554e-06
"AC007262.2",1.52963224738397e-10,0.56808868215676,0.5,0.012,4.6808276402197e-06
"ANGPT2",2.17921067467356e-10,0.757314239558008,0.75,0.035,6.66860258556856e-06
"LRRC7",2.62367248297758e-10,1.08746284125034,0.75,0.035,8.02870016515969e-06
"ACACB",2.08688648739816e-09,0.749140308112308,0.75,0.041,6.3860813400871e-05
"TBC1D4",1.3951537560525e-08,0.559725209222133,0.5,0.018,0.000426931000889625
"AC061958.1",1.40019313353443e-08,0.765534746362977,0.5,0.018,0.00042847310079287
"MTRNR2L1",5.24600619371148e-08,0.909545049054496,0.75,0.053,0.00160533035533765
"NECAB1",1.91868093498272e-07,1.20775707496805,0.75,0.065,0.00587135552914062
"MICAL2",2.2369154397319e-07,0.893691097853659,0.75,0.059,0.00684518493712358
"NAA20",2.33107547705699e-07,0.724892761865631,0.75,0.059,0.00713332406734209
"AL157911.1",2.43639225976692e-07,0.765534746362977,0.5,0.024,0.00745560395411274
"DLAT",2.87505068194972e-07,0.55140994101013,0.5,0.024,0.00879794259183433
"RPS6KA6",2.87505068194972e-07,0.55140994101013,0.5,0.024,0.00879794259183433
"RPP38",4.68701353464302e-07,0.901596295939005,0.75,0.065,0.0143427301173611
"AC107204.1",7.37061648741954e-07,1.34526059871799,0.75,0.076,0.0225548235131525
"AC108749.1",1.03954882072616e-06,0.901596295939005,0.75,0.071,0.0318112334630411
"C2CD2",1.22239881903792e-06,0.893691097853659,0.75,0.071,0.0374066262613793
"SLC26A2",2.52623176903299e-06,0.543142325026529,0.5,0.029,0.0773052183641786
"SHTN1",2.52623176903299e-06,0.543142325026529,0.5,0.029,0.0773052183641786
"WEE1",2.83425404182184e-06,0.885828980080689,0.75,0.076,0.0867310079337901
"SLC35A5",2.92505162754299e-06,0.534921818221561,0.5,0.029,0.089509504854443
"VKORC1L1",3.13146113337358e-06,0.964606093464806,1,0.147,0.0958258421423649
"ARHGEF11",3.3815530646218e-06,0.51862000589246,0.5,0.029,0.103478905330492
"PVT1",4.03723054335067e-06,1.17673017934743,0.75,0.076,0.123543291857074
"NARS2",5.26600900457276e-06,1.32192809488736,1,0.165,0.161145141548931
"RNF182",6.35268952334719e-06,0.798893343309408,0.25,0.006,0.194398652103947
"CA6",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"LGR6",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"ZNF695",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"AC016747.1",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"AC007364.1",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"AC009948.2",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"AC104841.1",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"AC005699.1",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"GLRB",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"GTF2H2C",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"CKMT2",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"ZNF300",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"HIST1H2BG",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"ZKSCAN3",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"AL590428.1",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"AL512658.2",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"CHN2",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"UBE2D4",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"AC069280.2",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"AC005008.2",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"GNG11",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"LRRN3",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"GLIS3",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"CFAP46",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"E2F8",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"NECTIN1",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"PKP2",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"AC125611.3",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"NUDT15",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"AL049779.4",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"AL049840.4",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"LINC02249",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"AC066613.2",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"AC010531.5",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"NLGN2",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"AC104984.2",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"AC005921.2",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"LINC00526",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"PALM",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"FCGBP",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"SHANK1",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"SYT5",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"ZNF471",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"LINC01694",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"MORC4",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"NUP62CL",7.21727022095897e-06,0.313466516139166,0.25,0.006,0.220855686031565
"RMDN2",8.19945815438718e-06,0.305054276322966,0.25,0.006,0.250911618982402
"AC017083.1",8.19945815438718e-06,0.305054276322966,0.25,0.006,0.250911618982402
"ITIH4",8.19945815438718e-06,0.29669080338834,0.25,0.006,0.250911618982402
"MAPK13",8.19945815438718e-06,0.305054276322966,0.25,0.006,0.250911618982402
"TMED2-DT",8.19945815438718e-06,0.305054276322966,0.25,0.006,0.250911618982402
"USP43",8.19945815438718e-06,0.305054276322966,0.25,0.006,0.250911618982402
"RNF32",8.89427475289908e-06,0.757314239558008,0.5,0.035,0.272173701713465
"AC117834.1",8.89427475289908e-06,0.757314239558008,0.5,0.035,0.272173701713465
