"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LYZ",1.33516493451016e-118,0.712888693069502,0.464,0.035,4.08573821609455e-114
"VCAN",3.70414624655294e-113,0.392510893549711,0.235,0.005,1.13350579290766e-108
"PPBP",5.10238167732004e-110,0.334212252985044,0.216,0.004,1.56137981707671e-105
"PLCG2",1.23606554300484e-89,2.10816603709398,0.98,0.496,3.7824841681491e-85
"B2M",2.3324817768953e-86,-1.65204842546988,0.974,1,7.13762748547731e-82
"RPL13",2.77737271518836e-82,-1.94056313757839,0.464,0.991,8.49903824574789e-78
"RPL41",1.00626325127434e-80,-1.86698463303246,0.536,0.983,3.07926617522459e-76
"RPL10",8.88707608614267e-80,-1.85930122286845,0.444,0.98,2.71953415312052e-75
"RPS18",4.14850446163444e-79,-1.82441947315829,0.373,0.969,1.26948385030475e-74
"RPLP1",6.25533310006905e-77,-1.76111176165607,0.562,0.982,1.91419448195213e-72
"RPL28",1.95220409583426e-76,-1.78750243951308,0.359,0.969,5.97393975366243e-72
"RPS2",2.69974880363513e-76,-1.73407980782901,0.497,0.975,8.26150131400385e-72
"RPS27",1.6441581880153e-75,-1.68040649663309,0.451,0.982,5.03128847114562e-71
"RPS14",1.74360508940754e-75,-1.70066371838017,0.359,0.954,5.33560593409603e-71
"RPL13A",5.4232001320989e-74,-1.62182221680295,0.536,0.978,1.65955347242358e-69
"RPLP2",5.01842738742987e-73,-1.66933474351621,0.412,0.959,1.53568896482742e-68
"RPS16",5.18538551884318e-72,-1.6467492078711,0.327,0.935,1.5867798226212e-67
"RPS27A",2.83644670971683e-71,-1.6021265087638,0.477,0.958,8.67981057640446e-67
"RPL3",2.86865823581031e-71,-1.62942103985228,0.314,0.933,8.77838106740311e-67
"RPS15",1.68196133345737e-70,-1.61289450769184,0.242,0.915,5.1469698765129e-66
"RPS12",4.08262144057308e-70,-1.60355588047038,0.484,0.966,1.24932298702977e-65
"RPL19",5.58001565224895e-70,-1.61785025911537,0.242,0.931,1.7075405897447e-65
"RPL30",8.2511815841221e-70,-1.56825032736643,0.359,0.946,2.5249440765572e-65
