"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PPBP",2.30256476314008e-61,0.594397015333414,0.394,0.004,7.04607843168495e-57
"NRGN",1.9628736178437e-39,0.594397015333414,0.273,0.004,6.00658955796352e-35
"VCAN",1.41452256287521e-33,0.363385064498466,0.303,0.008,4.32858049465442e-29
"PF4",3.34124426098201e-21,0.270784512734699,0.182,0.005,1.0224541563031e-16
"MBNL1-AS1",5.23987858383608e-20,0.531732980551244,0.424,0.045,1.60345524543968e-15
"MTRNR2L12",9.77672880694496e-20,2.50662315554934,1,0.686,2.99177678221323e-15
"PLCG2",2.35919053498192e-19,1.89161193886561,1,0.879,7.21935895609817e-15
"RPL41",2.20597562833523e-18,-1.750654593768,0.545,0.981,6.75050602026863e-14
"RPS18",7.09252775527841e-18,-1.77453419584065,0.273,0.957,2.17038441839274e-13
"RPS27",8.38695631958023e-18,-1.74870166833659,0.394,0.968,2.56649250335475e-13
"SNHG22",1.4082466257179e-17,0.361716244137848,0.212,0.011,4.30937549935934e-13
"RPL13",1.50799634536632e-17,-1.78512236133745,0.424,0.971,4.61461961645547e-13
"HIST1H1E",1.62800838248836e-17,0.969265117617174,0.727,0.178,4.98186845125265e-13
"RPL13A",2.77534444536091e-17,-1.61495801436992,0.545,0.98,8.49283153724891e-13
"RPL28",3.16908590382799e-17,-1.75131251425303,0.242,0.933,9.69771977430404e-13
"RPL10",3.34080738996351e-17,-1.6309218067726,0.485,0.961,1.02232046940273e-12
"RPLP1",1.18198986024174e-16,-1.69770499729166,0.485,0.981,3.61700717132576e-12
"RPS16",2.42197811925374e-16,-1.66369101958277,0.152,0.878,7.41149524272837e-12
"RPS29",2.80374736125964e-16,-1.54201122675145,0.333,0.943,8.57974730019063e-12
"RPLP2",4.77085354800181e-16,-1.46497813377498,0.515,0.967,1.45992889422404e-11
"RPS27A",5.20761518853579e-16,-1.55781673665635,0.303,0.948,1.59358232384384e-11
"RPS2",9.82658384052079e-16,-1.60425292237711,0.515,0.943,3.00703292103777e-11
"RPS28",1.18345952787177e-15,-1.56164731185649,0.242,0.897,3.62150450124039e-11
"RPS12",1.29435604969782e-15,-1.53988534968549,0.364,0.928,3.96085894768029e-11
"RPS11",1.6230923755356e-15,-1.52656777950944,0.364,0.927,4.96682497837649e-11
"RPS19",1.74330873349781e-15,-1.48004725784652,0.303,0.923,5.33469905537665e-11
"RPS23",1.98088609524652e-15,-1.46245708493702,0.242,0.9,6.06170954006387e-11
"RPL19",2.49027634593647e-15,-1.54730657117904,0.182,0.89,7.6204946462002e-11
"B2M",7.02408168948387e-15,-1.12365802360214,1,1,2.14943923779896e-10
"RPL34",7.33575047323618e-15,-1.46407526432884,0.394,0.911,2.244813002315e-10
"RPS3",8.6937242103451e-15,-1.44986709552471,0.242,0.891,2.6603665456077e-10
"RPS15A",9.55192620419951e-15,-1.43684576755351,0.242,0.921,2.92298493774709e-10
"TXK",1.81673314854084e-14,1.08355695831631,1,0.758,5.55938510784982e-10
"RPS14",1.84444885146037e-14,-1.42674453749296,0.394,0.931,5.64419793035388e-10
