"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PPBP",5.41482214582922e-289,0.300510340432214,0.2,0.004,1.6569897248452e-284
"LYZ",8.75434342265526e-219,0.610230808763683,0.437,0.042,2.67891663076674e-214
"VCAN",1.0034354315707e-205,0.34425505780763,0.237,0.011,3.07061276414949e-201
"MTRNR2L12",2.17345074931705e-161,2.36215623690594,0.991,0.596,6.6509766379851e-157
"NKG7",2.57440827507555e-161,-1.83393830608565,0.585,0.979,7.87794676255869e-157
"RPL41",4.99668725955976e-161,-1.73828366824158,0.409,0.966,1.52903626829788e-156
"B2M",1.46991202675877e-158,-1.44775926003066,0.988,1,4.49807779308452e-154
"PLCG2",8.68920441319193e-158,1.8793233237152,1,0.832,2.65898344248086e-153
"TMSB4X",8.54207450044504e-144,-1.52884161728787,0.708,0.98,2.61396021788119e-139
"RPLP1",3.45619318738769e-142,-1.58656140943837,0.452,0.946,1.05762967727251e-137
"RPS27",1.22513676370168e-140,-1.50073005449711,0.412,0.948,3.7490410106035e-136
"RPL13A",1.3140572174456e-136,-1.47003592554944,0.449,0.942,4.02114649110528e-132
"RPL13",7.51223851144478e-133,-1.49531900205017,0.406,0.944,2.29882010688722e-128
"RPS14",5.69219377031006e-131,-1.44395404796485,0.302,0.9,1.74186821565258e-126
"RPL28",1.04507472851553e-127,-1.45513135252926,0.317,0.898,3.19803317673037e-123
"RPL10",3.0366650505106e-125,-1.41632317212451,0.382,0.917,9.29249872106747e-121
"RPLP2",2.09619397571358e-122,-1.37069938265202,0.372,0.906,6.41456318508112e-118
"RPS18",1.26098797221127e-120,-1.38275508201482,0.332,0.884,3.85874929376371e-116
"S100A9",3.97508148742036e-119,0.359547136818266,0.286,0.032,1.2164146859655e-114
"HLA-C",4.00791830322492e-118,-1.29064702706678,0.745,0.968,1.22646307996986e-113
"RPS27A",7.3193708474555e-115,-1.31729414128293,0.323,0.876,2.23980067302986e-110
"MTRNR2L8",6.65675057003136e-114,0.717589329595863,0.612,0.154,2.0370322419353e-109
"RPS29",2.78452787976373e-113,-1.25676260737659,0.409,0.911,8.52093376486499e-109
"RPL19",1.64601798408703e-112,-1.29778601243379,0.258,0.846,5.03697963310471e-108
"RPS15",2.51502277884667e-111,-1.27904272006313,0.255,0.84,7.69622120554869e-107
"HLA-B",3.04710183994786e-111,-1.13826408918622,0.858,0.984,9.32443634042444e-107
"RPS12",1.23949368251725e-109,-1.28703823239693,0.348,0.869,3.79297461787102e-105
"RPS11",1.31253970281751e-107,-1.23612234924849,0.369,0.877,4.01650274459185e-103
"HIST1H1E",8.46709240920127e-106,0.706453396833888,0.64,0.178,2.59101494813968e-101
"RPS28",1.94835362700781e-104,-1.2273657119284,0.28,0.838,5.96215693400661e-100
"RPL30",2.39621725474844e-104,-1.22279799248433,0.289,0.842,7.33266442125571e-100
