"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LYZ",6.72061537899183e-103,0.834613415826013,0.529,0.029,2.05657551212529e-98
"PPBP",4.65882327411213e-78,1.27589348379606,0.627,0.064,1.42564651011105e-73
"PF4",9.03995264615531e-73,1.08246216019197,0.578,0.059,2.76631590924999e-68
"CAVIN2",2.02159764491987e-70,1.10492912449728,0.52,0.05,6.18629095321929e-66
"MTRNR2L8",1.50588135771891e-69,1.13458558164844,0.647,0.084,4.60814754275563e-65
"HIST1H1E",2.54978668026476e-64,0.735228686008044,0.529,0.057,7.80260222027819e-60
"MTRNR2L12",1.24828070702582e-59,2.96129806488783,0.99,0.778,3.81986379156971e-55
"NRGN",1.40070179106105e-58,1.16861609521732,0.549,0.066,4.28628755082592e-54
"TUBB1",2.16092485801479e-58,1.30746482862393,0.48,0.053,6.61264615801106e-54
"PLCG2",1.56996153483489e-56,1.85862782013932,1,0.839,4.80423929274825e-52
"F13A1",8.64728297711615e-55,0.602565742186087,0.402,0.037,2.64615506382731e-50
"CTSS",1.52532831246332e-53,0.745699302508888,0.461,0.052,4.66765716896901e-49
"ITGB3",7.29483412528379e-53,0.514359392724027,0.304,0.02,2.23229219067809e-48
"S100A9",3.67787349250074e-48,0.382840943566644,0.324,0.026,1.12546606744015e-43
"OPRM1",3.38271810042247e-45,0.432373191011284,0.245,0.015,1.03514556591028e-40
"CLU",1.16081092890934e-44,0.699283185565223,0.412,0.049,3.55219752355546e-40
"ITGA6",7.84140164507212e-44,0.604975319718906,0.402,0.049,2.39954731740852e-39
"PRKAR2B",1.4212167430391e-42,0.599425569131221,0.333,0.034,4.34906535537395e-38
"LINC00861",1.00667265160564e-41,0.99354032757292,0.471,0.077,3.08051898117841e-37
"GP1BB",3.86894207821907e-40,0.764805265947924,0.441,0.063,1.18393496535582e-35
"SLC40A1",4.80906336358845e-39,0.386145593230275,0.216,0.013,1.4716214798917e-34
"NCK2",1.26548575241782e-38,0.778594360607695,0.598,0.127,3.87251295097378e-34
"THBS1",1.61133513519163e-38,0.357637103540417,0.225,0.016,4.9308466471999e-34
"MDFIC",4.30865646820479e-38,0.760508038206877,0.353,0.045,1.31849196583535e-33
"RPL41",1.62447305933665e-36,-1.42541850184626,0.461,0.956,4.97105000887608e-32
"CD226",2.35404612721455e-35,0.65058839451211,0.353,0.049,7.20361655388923e-31
"RPS27",3.16746400355496e-35,-1.43525039482666,0.49,0.959,9.69275659727854e-31
"RPLP2",8.36055419608927e-35,-1.34430204768375,0.382,0.915,2.55841318954528e-30
"RPL28",8.84118017746532e-35,-1.36281616128479,0.324,0.896,2.70548954610616e-30
"AC105402.3",9.22449165480827e-35,2.95882165570955,0.353,0.053,2.82278669128788e-30
"RPL30",6.73500341132574e-34,-1.27468055552294,0.275,0.864,2.06097839389979e-29
"RPS12",1.01246486640333e-33,-1.33134680109424,0.412,0.926,3.09824373768083e-29
"S100A8",1.0937868582623e-33,0.327030552783176,0.216,0.017,3.34709716496846e-29
"HIVEP2",2.73172671228975e-33,0.82455975116209,0.451,0.086,8.35935691227787e-29
"RPS29",2.78582470250178e-33,-1.37340916535792,0.431,0.93,8.52490217212571e-29
"AC016074.2",2.11397610412003e-32,0.590814525010095,0.353,0.052,6.46897827621769e-28
"GNG11",5.49385677910214e-32,0.38510369929003,0.363,0.052,1.68117511297305e-27
"NR3C2",1.00328420536704e-31,0.967885815753801,0.402,0.071,3.07014999684368e-27
"SPEF2",1.06395103501066e-31,0.363305788814685,0.206,0.017,3.25579656223614e-27
"RPL39",1.75175788096886e-31,-1.30041743799857,0.225,0.82,5.36055429155281e-27
"DPYD-AS1",2.47368178956297e-31,0.453724429723153,0.284,0.035,7.56971364424164e-27
"LINC00612",2.81167450022391e-31,0.352356874329363,0.235,0.023,8.60400513813518e-27
"VCAN",4.98407953336461e-31,0.630222085088952,0.216,0.019,1.5251781780049e-26
"SNHG14",1.518577533935e-30,0.732512394364148,0.5,0.108,4.6469991115945e-26
"HIST1H2AC",1.98887203879067e-30,0.56034426049697,0.314,0.043,6.08614732590332e-26
"CSGALNACT1",2.48357330281355e-30,0.666288048763547,0.353,0.055,7.59998266393976e-26
"OXNAD1",2.70959081188088e-30,0.842921776123577,0.441,0.09,8.29161884343668e-26
"RPL10",3.19211049376692e-30,-1.15036841033371,0.382,0.904,9.76817732197616e-26
"TRAF3IP3",5.94083101516244e-30,0.64107442290203,0.578,0.141,1.81795369894986e-25
"RPL13",9.52345790147483e-30,-1.21774625824357,0.51,0.955,2.91427335243031e-25
"RPL32",1.38605169838114e-29,-1.24772045409076,0.304,0.824,4.24145680221611e-25
"RPL19",1.47207182676569e-29,-1.10888732746573,0.265,0.83,4.50468699708568e-25
