"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PPBP",1.19304676408229e-133,0.401469027544355,0.269,0.005,3.65084240276821e-129
"VCAN",7.92598586069847e-127,0.422965144739267,0.282,0.007,2.42543093323234e-122
"PF4",4.8749541965802e-124,0.304215798058594,0.218,0.002,1.49178473369551e-119
"RPL41",5.84239387152821e-90,-2.19989371133477,0.423,0.988,1.78783094862635e-85
"RPS27",2.72136694369817e-86,-2.02592347337616,0.494,0.984,8.32765498441077e-82
"PLCG2",7.21501871143383e-84,2.19689987535016,0.987,0.649,2.20786787588587e-79
"RPL13",1.29627775130661e-83,-2.02498875161492,0.481,0.98,3.96673954677337e-79
"RPL13A",5.89889504626065e-82,-1.94987939667675,0.41,0.978,1.80512087310622e-77
"RPS12",2.06440742833089e-80,-2.00436606133658,0.308,0.958,6.31729317143534e-76
"MTRNR2L12",2.41057430031563e-80,2.47946534560804,1,0.557,7.37659841639586e-76
"RPL10",5.42987124655401e-79,-1.91915286984238,0.333,0.969,1.66159490015799e-74
"RPS18",6.61795538387662e-79,-1.91577861428576,0.359,0.961,2.02516052702008e-74
"LYZ",8.94162704182812e-79,0.486312610443167,0.359,0.032,2.73622729106982e-74
"RPL28",4.79846369466957e-77,-1.87701611638661,0.301,0.954,1.46837787520584e-72
"RPLP1",2.73425965614752e-76,-1.78844853043586,0.481,0.972,8.36710797377701e-72
"RPLP2",4.65222842299474e-76,-1.78223231753726,0.404,0.961,1.42362841972062e-71
"RPL30",1.09682068353727e-75,-1.82025156534604,0.295,0.957,3.3563809736924e-71
"RPS27A",6.65410655034489e-75,-1.73823708448209,0.41,0.958,2.03622314547104e-70
"RPL34",7.65838260674789e-74,-1.73022423813066,0.346,0.949,2.34354166149092e-69
"RPS28",1.88074966767937e-73,-1.73591509327929,0.276,0.928,5.75528205806564e-69
"RPS11",1.0174579204891e-72,-1.71452857422801,0.288,0.937,3.1135229824887e-68
"S100A9",3.26649213534107e-72,0.386864497786716,0.288,0.021,9.99579258335721e-68
"RPL11",1.43776507692133e-71,-1.66150360348111,0.385,0.946,4.39970491188698e-67
"RPS16",1.90010092965183e-71,-1.68703763925933,0.288,0.933,5.81449885482757e-67
"RPS14",3.23498022751553e-71,-1.6740478871972,0.359,0.945,9.89936299422028e-67
"RPS29",4.00258652318401e-71,-1.63174451323881,0.41,0.964,1.22483150195954e-66
"RPS3",8.20244709741093e-70,-1.62506816018175,0.263,0.912,2.51003083627872e-65
"RPS15",9.11366351300835e-70,-1.61901446934585,0.244,0.916,2.78887217161569e-65
"RPL39",1.02654347963372e-69,-1.65256171862816,0.212,0.904,3.14132570202714e-65
