"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PPBP",1.12265150361846e-38,0.433555617946093,0.323,0.003,3.43542586622285e-34
"RPS11",8.58699370948481e-21,-2.87259464194113,0.258,0.994,2.62770594503945e-16
"RPS18",1.56822001941962e-20,-2.53412002349673,0.226,0.992,4.79891008142598e-16
"RPL13",1.81815042160662e-20,-2.5989418290489,0.258,0.992,5.56372210515841e-16
"RPL10",1.81908462555675e-20,-2.59353804293618,0.226,0.994,5.56658086266621e-16
"RPL30",1.90266680560297e-20,-2.29909999383253,0.097,0.983,5.82235069182566e-16
"RPL41",1.91305410758956e-20,-2.62663659582987,0.387,0.992,5.85413687463482e-16
"RPL28",2.33541013433006e-20,-2.62595146029434,0.161,0.987,7.14658855206342e-16
"RPLP1",2.44745405523603e-20,-2.40168887196012,0.581,0.995,7.48945415442779e-16
"RPS16",2.53046025551492e-20,-2.19265423802141,0.226,0.987,7.74346142790122e-16
"RPS27A",2.64007458121274e-20,-2.38172368844173,0.161,0.984,8.07889222596909e-16
"RPL37A",2.67693258950479e-20,-2.27265803748169,0.323,0.987,8.19168141714361e-16
"RPL18A",2.70224006819733e-20,-2.20201723755882,0.129,0.983,8.26912483269065e-16
"RPL19",2.7123131790215e-20,-2.51757407653928,0.161,0.981,8.2999495591237e-16
"RPS19",2.77923166088836e-20,-2.25838539472155,0.129,0.984,8.50472680548447e-16
"RPS2",2.88971203751093e-20,-2.36802287414412,0.419,0.994,8.8428078059872e-16
"RPL13A",3.39673791947851e-20,-2.44607582666908,0.387,0.99,1.03943577073962e-15
"RPLP2",3.41796694453165e-20,-2.21312393981205,0.258,0.992,1.04593206469613e-15
"RPL18",4.81783291264107e-20,-2.12222223174845,0.097,0.973,1.47430504959729e-15
"RPS14",5.17537809460817e-20,-2.43853971680713,0.194,0.981,1.58371745073105e-15
"RPS12",5.68936133552922e-20,-2.38853816356481,0.129,0.979,1.7410014622853e-15
"RPL11",6.25441455912592e-20,-2.26846110349382,0.258,0.983,1.91391339923812e-15
