"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MTRNR2L8",1.68256386915079e-25,1.05226967937643,0.931,0.235,5.14881369598832e-21
"MTRNR2L12",6.62580895789425e-22,1.92839123421877,1,0.75,2.02756379920522e-17
"HIST1H1E",3.99020078950819e-21,0.781390903221905,0.655,0.133,1.2210413435974e-16
"PZP",8.64543428585604e-21,0.85070499719665,0.431,0.048,2.64558934581481e-16
"A2M",4.45148692758289e-19,0.934125099861084,0.448,0.061,1.36219951470964e-14
"RPL28",2.55227984053468e-18,-1.4410303606514,0.241,0.834,7.81023154002016e-14
"NRGN",5.7309302622424e-18,0.260303022868137,0.207,0.003,1.7537219695488e-13
"PLCG2",5.748294480742e-18,1.34883993801517,1,0.781,1.75903559405186e-13
"PPBP",6.62026378170038e-18,0.409771959608752,0.293,0.018,2.02586691983813e-13
"AC105402.3",5.041400881809e-17,2.26422366442018,0.828,0.439,1.54271908384237e-12
"RPS27",9.84943962174856e-17,-1.42761898101087,0.414,0.885,3.01402701865128e-12
"TSIX",4.33100308160455e-16,0.598664002755385,0.414,0.061,1.32533025300181e-11
"MBNL1",1.61257654487112e-15,0.9370417736821,0.983,0.967,4.93464548496012e-11
"RPL41",2.0835812849317e-15,-1.36769660430803,0.483,0.895,6.3759670900195e-11
"RPS3",2.82174086022784e-15,-1.08549231906316,0.224,0.768,8.6348092063832e-11
"RPS16",3.02440516413622e-15,-1.01976510936521,0.259,0.804,9.25498224277326e-11
"TUBB1",3.2967139341722e-15,0.260303022868137,0.207,0.008,1.00882743099603e-10
"RPS18",4.33640277523161e-15,-1.23525933725577,0.276,0.801,1.32698261324863e-10
"RPL13",4.34185213074653e-15,-1.27680318743184,0.466,0.895,1.32865017052975e-10
"S100A9",5.82063372129373e-15,0.280767125427853,0.19,0.005,1.78117212505309e-10
"RPS14",7.14369636510491e-15,-1.12679775355537,0.276,0.816,2.18604252468575e-10
"RPL39",7.26789035246606e-15,-1.1514969573047,0.19,0.74,2.22404712675814e-10
"RPS23",8.82529840895512e-15,-1.09154632838328,0.19,0.747,2.70062956612436e-10
"RPS15A",1.81505422282152e-14,-1.12379947582297,0.276,0.791,5.55424742725613e-10
"LINC00612",1.81984661659534e-14,0.459644825077752,0.276,0.026,5.56891263144339e-10
"RPL13A",3.04964310021658e-14,-1.24602877219135,0.431,0.875,9.33221285097276e-10
"RPL18A",3.30803352970219e-14,-1.02250247215558,0.207,0.75,1.01229134042417e-09
"RPL19",3.50374933016144e-14,-1.09050694172751,0.276,0.783,1.0721823325227e-09
"SLC4A4",3.65916908698973e-14,0.356190919403908,0.207,0.01,1.11974233230973e-09
"RPL34",5.81575930397127e-14,-1.0639006505803,0.293,0.819,1.77968050460825e-09
"RPL35A",1.07657584052186e-13,-1.00356924900919,0.19,0.702,3.29442972958094e-09
"TRG-AS1",1.47093105365600e-13,0.637991302404113,0.466,0.102,4.50119611729274e-09
"ETS1",1.56006616434991e-13,0.765141088803836,0.966,0.73,4.77395846952716e-09
"RPS12",2.45485645625308e-13,-1.20056670005813,0.362,0.827,7.51210624178004e-09
"AC245297.3",3.57110783387095e-13,0.487950460619038,0.517,0.128,1.09279470824285e-08
"RPS11",4.62710931286141e-13,-0.989963291163344,0.31,0.798,1.41594172082872e-08
"XIST",5.25921181369874e-13,1.04312419682738,0.724,0.276,1.60937140710995e-08
"RPL30",7.06878137804232e-13,-1.10185139642514,0.293,0.791,2.16311778949473e-08
"TPT1",7.84506433571285e-13,-0.882131607234096,0.276,0.768,2.40066813737149e-08
"PDGFD",1.25073361233631e-12,0.665734316767044,0.259,0.028,3.82736992711034e-08
"RPS28",1.84069275893387e-12,-1.00070084773829,0.328,0.793,5.63270391161355e-08
"RPL11",2.03992918637461e-12,-0.993949912834752,0.345,0.811,6.24238730322496e-08
"RPL23",2.08641113537001e-12,-0.89463487745603,0.155,0.661,6.38462671534577e-08
"RPL32",2.21723835145122e-12,-0.963244756134678,0.19,0.719,6.78497107927587e-08
"RPS19",4.23243148894925e-12,-0.927378298031495,0.345,0.776,1.29516635993336e-07
"TRGC2",4.28605855649034e-12,0.476620929794901,0.276,0.036,1.31157677887161e-07
"KLRD1",4.33043336284832e-12,0.379659199907813,0.224,0.02,1.32515591336521e-07
"RPL18",4.34585202133378e-12,-0.976332290722654,0.241,0.712,1.32987417704835e-07
"RPL21",6.34559835486332e-12,-0.962765608952164,0.259,0.742,1.94181655257173e-07
"RPS20",8.14932270358604e-12,-0.825262085202229,0.19,0.722,2.49377424052437e-07
"RPL27A",8.26678944886596e-12,-0.851788379712417,0.276,0.763,2.52972023924747e-07
"RPS29",1.06767195326915e-11,-1.00668272548237,0.379,0.832,3.26718294419893e-07
