"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PPBP",3.65003290220122e-146,0.352157824471701,0.242,0.004,1.1169465684026e-141
"LYZ",9.50888253227589e-94,0.662614583295647,0.484,0.046,2.90981314370175e-89
"RPL41",7.68304726154919e-72,-2.06932605744544,0.46,0.988,2.35108929250667e-67
"PLCG2",9.42979977112622e-72,2.112833894618,1,0.601,2.88561302796233e-67
"B2M",6.30723737322494e-68,-1.66953826243625,0.976,0.998,1.93007770858056e-63
"RPL13",2.38874267469021e-66,-1.89031225967133,0.5,0.982,7.30979145881952e-62
"RPL13A",4.20017960438564e-64,-1.76659906993805,0.532,0.981,1.28529696073805e-59
"RPS14",1.78390661298367e-63,-1.82497714161954,0.258,0.958,5.45893262639133e-59
"RPL10",2.68501978023263e-63,-1.81819909799125,0.427,0.969,8.21642902948986e-59
"RPS27",3.56944493954741e-63,-1.7729166195894,0.468,0.981,1.0922858459509e-58
"RPS18",5.75527263645198e-63,-1.75410893837522,0.427,0.958,1.76117097948067e-58
"RPL28",8.62491627343851e-62,-1.78290929124619,0.371,0.952,2.63931062883492e-57
"RPLP1",2.65298046500504e-61,-1.7861196843398,0.532,0.977,8.11838552096193e-57
"RPS16",2.79677776876137e-61,-1.68204256347926,0.315,0.939,8.55841965018668e-57
"RPS29",3.49608411731166e-59,-1.62947742889252,0.411,0.954,1.06983670073854e-54
"RPS12",4.29643371274611e-59,-1.76330194625277,0.323,0.952,1.31475168043744e-54
"HIST1H1E",2.02533483810799e-58,0.754214607506704,0.669,0.147,6.19772713809426e-54
"RPLP2",4.73618318839367e-58,-1.65011541027291,0.395,0.961,1.44931941748035e-53
"RPS2",1.60930514287881e-57,-1.63867778029052,0.508,0.969,4.92463466772344e-53
"RPS27A",4.88423176735945e-57,-1.58897827612059,0.435,0.956,1.49462376312967e-52
"TMSB4X",2.26282218295543e-56,-1.57260507861379,0.694,0.979,6.9244621620619e-52
"RPL27A",3.69915296858706e-56,-1.57133451024291,0.25,0.913,1.13197779991733e-51
"RPS3",9.12888199190257e-56,-1.56740246509547,0.331,0.917,2.7935291783421e-51
"RPS28",9.5629034888173e-56,-1.59023044082291,0.315,0.922,2.92634409661298e-51
"RPS15",1.48778920174344e-55,-1.59112334216566,0.226,0.909,4.55278373625509e-51
"RPL19",4.57699427894837e-55,-1.56346525368428,0.306,0.928,1.40060601930099e-50
"RPS15A",5.44622047141581e-55,-1.55710031779165,0.258,0.911,1.66659792645795e-50
"RPS19",7.29509533655177e-55,-1.57008200526888,0.29,0.924,2.23237212393821e-50
"RPS11",2.07263413354478e-54,-1.52520540368005,0.371,0.939,6.34246771206038e-50
"RPL37A",5.35167607802654e-53,-1.50554963495235,0.339,0.924,1.6376663966369e-48
"HLA-B",9.00823124643466e-53,-1.36366183709821,0.79,0.991,2.75660884372147e-48
"RPL18A",1.0465891405605e-52,-1.49275256588781,0.258,0.899,3.20266742902918e-48
"RPL30",1.21750066291997e-52,-1.48995533179442,0.363,0.923,3.7256737786014e-48
"FAU",1.47613926323987e-52,-1.50498295387459,0.202,0.888,4.51713375944034e-48
"VCAN",5.03694015219702e-52,0.274548099491188,0.202,0.013,1.54135405597381e-47
"RPL34",1.18639835000281e-51,-1.48363487895758,0.411,0.934,3.63049759084361e-47
"RPL3",1.87106398612202e-51,-1.49633277632998,0.387,0.927,5.725642903932e-47
"RPS23",2.80652363412213e-51,-1.49111274431126,0.242,0.889,8.58824297277714e-47
"RPL39",3.80453591706635e-50,-1.43150961375312,0.282,0.884,1.16422603598147e-45
"RPL11",2.98354241250268e-49,-1.41129756781369,0.355,0.924,9.12993813649944e-45
"MTRNR2L12",1.20520163701913e-48,2.09948532549932,0.976,0.679,3.68803752944224e-44
"S100A9",6.69262053704058e-48,0.380383198088239,0.323,0.04,2.04800881053979e-43
"HLA-C",4.15542030115933e-47,-1.39094257669583,0.718,0.966,1.27160016635777e-42
"RPL32",6.66935507840066e-47,-1.33661426970303,0.258,0.877,2.04088934754139e-42
"NKG7",3.30912676929333e-46,-1.71289148875473,0.29,0.846,1.01262588267145e-41
"EEF1A1",3.60340773407034e-46,-1.31827919379042,0.581,0.952,1.10267880070286e-41
"RPS20",6.90473435411823e-46,-1.3457724171618,0.266,0.864,2.11291775970372e-41
"MT-CO3",1.09272066189303e-44,-1.17501441807327,0.968,1,3.34383449745887e-40
"AC016074.2",1.6203437292459e-44,0.662014123890856,0.46,0.09,4.95841384586537e-40
"RPL18",6.28896618257673e-43,-1.27529230491036,0.355,0.874,1.92448654153031e-38
"RPL37",9.36467442627998e-43,-1.2321301921018,0.29,0.868,2.86568402118594e-38
"RPL17",2.82693543526684e-42,-1.25902896748589,0.331,0.883,8.65070512546007e-38
"RPL35A",3.11372051933235e-42,-1.25422498688409,0.242,0.83,9.52829616120892e-38
"RPL23A",1.04930518792952e-41,-1.18694990661358,0.395,0.885,3.21097880558313e-37
"EIF1",1.4026362531948e-41,-1.19227381125699,0.371,0.873,4.29220719840141e-37
"HLA-A",1.45159494327491e-41,-1.19849030044277,0.661,0.948,4.44202568591557e-37
"RPS6",2.28578379258774e-41,-1.25838864202586,0.363,0.883,6.99472698369775e-37
"RPS25",2.98325944160832e-41,-1.20822427130472,0.323,0.868,9.12907221726561e-37
"MBNL1",6.88812051120923e-41,1.26575990066163,0.992,0.913,2.10783375763514e-36
"RPL15",2.60712410225046e-40,-1.18624874174695,0.226,0.817,7.97806046529663e-36
"RPS21",3.13440002890258e-40,-1.22832358677017,0.331,0.859,9.59157752844477e-36
"TPT1",4.87913009530897e-40,-1.19587158447844,0.363,0.871,1.4930626004655e-35
"RPS4X",1.6462478582646e-39,-1.22109643272798,0.274,0.829,5.03768307107551e-35
"RPL21",3.01192752162498e-39,-1.15871139255569,0.379,0.89,9.21679940892462e-35
"MTRNR2L8",3.47178184203592e-39,0.689759870188116,0.637,0.18,1.06239996148141e-34
"RIPOR2",7.45862889525278e-39,1.14698671520052,0.984,0.812,2.2824150282363e-34
"RPS24",1.06999188453117e-38,-1.12391700551825,0.306,0.852,3.27428216585383e-34
"PFN1",1.18513305531587e-38,-1.27687344104708,0.282,0.81,3.62662566257208e-34
"TMSB10",2.26200705340939e-38,-1.1950130634123,0.452,0.876,6.92196778413808e-34
"RPS17",3.73075948497952e-38,-1.1852026241639,0.266,0.812,1.14164970999858e-33
"MT-ND3",7.37455654178608e-38,-1.10035583246914,0.96,1,2.25668804735196e-33
"RPS9",1.64467793557779e-37,-1.15694023174838,0.185,0.778,5.03287895066159e-33
"MT-CO2",2.3723991899729e-37,-1.05054512375061,0.968,1,7.25977876123608e-33
"RPL23",5.90193817012311e-37,-1.15572165256265,0.218,0.794,1.80605209943937e-32
"RPL26",9.44612342495748e-37,-1.12617939103195,0.266,0.82,2.89060822927124e-32
"RPL9",4.47512124378593e-36,-1.10687534852234,0.331,0.832,1.36943185181093e-31
"RPL36",3.5991313044116e-35,-1.10427857847198,0.25,0.778,1.10137017046299e-30
"RPSA",3.63381349067043e-35,-1.10313590623491,0.339,0.817,1.11198326628006e-30
"RPS13",1.12709958634481e-34,-1.10677272783004,0.234,0.784,3.44903744417375e-30
"RPS8",1.14174315083323e-34,-1.07114476805398,0.371,0.852,3.49384821586478e-30
"RPS3A",3.00617870515688e-34,-1.06322176970864,0.323,0.82,9.19920745565055e-30
