"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"S100A9",6.28608937196739e-30,0.336622762293011,0.273,0.007,1.92360620871574e-25
"PPBP",8.46083448507496e-29,0.273757284783425,0.212,0.003,2.58909996077779e-24
"LYZ",6.96110941444903e-27,0.568759419275855,0.455,0.034,2.13016909191555e-22
"S100A8",5.52715475305017e-24,0.273757284783425,0.182,0.003,1.69136462598088e-19
"MTRNR2L12",1.86281475550327e-23,3.23799487899496,1,0.49,5.70039943331555e-19
"RPL41",1.21132536577927e-21,-2.61292021885262,0.182,0.993,3.70677675182113e-17
"RPLP1",1.54355147319981e-21,-2.5068195406034,0.333,0.991,4.72342186313874e-17
"RPL10",1.55027835812606e-21,-2.5268465952831,0.152,0.988,4.74400680370154e-17
"RPS14",1.63298034132492e-21,-2.4230511829108,0.061,0.979,4.99708314248838e-17
"RPS12",2.06354135585397e-21,-2.46769840349134,0.121,0.986,6.31464290304875e-17
"RPS11",2.46919768498671e-21,-2.4230511829108,0.273,0.988,7.55599183582784e-17
"RPS18",3.42147705581476e-21,-2.17886650588683,0.152,0.982,1.04700619384987e-16
"RPS27",4.26620714768462e-21,-2.31494218907024,0.182,0.988,1.30550204926297e-16
"RPS16",5.08485131083594e-21,-2.10057269614352,0.121,0.969,1.55601534962891e-16
"RPS27A",5.22203368986957e-21,-2.21241771179677,0.273,0.983,1.59799452943699e-16
"RPL28",5.46400604597636e-21,-2.16164470749657,0.182,0.975,1.67204049012923e-16
"RPL13",5.82719373509286e-21,-2.39271714059995,0.242,0.986,1.78317955487577e-16
"RPLP2",7.25132325200055e-21,-2.19609465000873,0.182,0.972,2.21897742834469e-16
"RPL13A",7.88608214558061e-21,-2.36543956200605,0.242,0.988,2.41321999736912e-16
"RPS23",8.82183897818172e-21,-2.25577789467671,0.121,0.98,2.69957094571339e-16
"RPL37A",1.03275318339944e-20,-2.29034269875389,0.152,0.969,3.16032801652061e-16
"RPS2",1.07152449930171e-20,-2.11974705294578,0.303,0.98,3.27897212031317e-16
"TPT1",1.25490454795765e-20,-2.08643432482718,0.212,0.975,3.8401334072052e-16
"RPL18A",1.30413969761238e-20,-1.90752793099442,0.061,0.954,3.99079788866366e-16
"PLCG2",1.31818684349547e-20,2.36789486714431,1,0.913,4.03378355978048e-16
"RPS3A",1.54106085525827e-20,-2.13385232752787,0.273,0.972,4.71580032317584e-16
"RPL34",1.63340002644467e-20,-2.11133641232243,0.182,0.975,4.99836742092332e-16
"RPS28",1.73519009242955e-20,-2.00945601820936,0.242,0.978,5.30985520184366e-16
"RPL21",1.90108656363591e-20,-1.99006268874791,0.182,0.97,5.81751499338225e-16
"RPL11",2.17656093678196e-20,-1.9977715914825,0.121,0.963,6.66049412264649e-16
"RPL37",2.185083290046e-20,-2.16454106069438,0.152,0.961,6.68657337586976e-16
"RPS15A",2.50958067046103e-20,-1.90924492515583,0.182,0.963,7.67956780967781e-16
"EEF1A1",2.51967709989295e-20,-2.46885487252392,0.364,0.992,7.7104638933824e-16
"RPS29",2.74727636362484e-20,-2.00801368363195,0.212,0.969,8.40694040032836e-16
"RPL26",5.53489727008571e-20,-1.82982385227553,0.091,0.948,1.69373391361893e-15
"RPS13",5.73507198374605e-20,-1.95419466189492,0.091,0.954,1.75498937774613e-15
"RPL19",8.20059114050394e-20,-1.9175714654756,0.242,0.969,2.50946289490561e-15
"RPL39",9.02169028718497e-20,-1.93271058245667,0.091,0.949,2.76072744478147e-15
"RPL9",9.87081851742355e-20,-1.93087273931283,0.091,0.955,3.02056917451678e-15
"RPL23",1.24396915816253e-19,-1.93374092125333,0.212,0.963,3.80667002089316e-15
"RPS4X",1.27328006498245e-19,-1.86210037191294,0.091,0.948,3.8963643268528e-15
"RPS19",1.31115709618378e-19,-1.92573401601386,0.242,0.974,4.012271830032e-15
"RPS20",1.35453970392125e-19,-1.94666502047607,0.152,0.952,4.14502694796942e-15
"RPS24",1.65019123621156e-19,-1.8356142008591,0.182,0.954,5.049750201931e-15
"RPS3",1.87275997424422e-19,-1.72938242274714,0.091,0.932,5.73083279718472e-15
"RPS6",1.97836990567552e-19,-1.69644521467749,0.364,0.975,6.05400974835765e-15
"RPL32",2.32312615651817e-19,-1.90348310016065,0.121,0.944,7.10899835156125e-15
"RPL27A",2.72886790225968e-19,-1.87824580866162,0.091,0.965,8.35060866770485e-15
"RPS8",2.79076708211294e-19,-1.9214728055705,0.152,0.963,8.5400263479738e-15
"B2M",4.00073303441167e-19,-1.64526390753643,0.879,0.999,1.22426431586031e-14
"RPS25",4.6548559547229e-19,-1.70848399878567,0.152,0.944,1.42443247070475e-14
"RPS17",6.62849974315985e-19,-1.70855015227041,0.091,0.932,2.02838720640435e-14
"RPL35A",7.76548599385723e-19,-1.70087599505815,0.091,0.92,2.37631636898025e-14
"RPL17",7.79554186037495e-19,-1.77035106750647,0.212,0.941,2.38551376469334e-14
"RPS15",8.10915069498163e-19,-1.66879244303268,0.091,0.931,2.48148120417133e-14
"RPL30",1.19627381899213e-18,-1.84234842101103,0.182,0.966,3.66071751349782e-14
"RPSA",1.50769595353401e-18,-1.51389176090209,0.03,0.89,4.61370038740944e-14
"RPL18",1.54482368896103e-18,-1.70460320336348,0.061,0.916,4.72731497058965e-14
"FAU",1.96317099032195e-18,-1.67419799309096,0.152,0.923,6.0074995474842e-14
"RPS7",2.01972089984952e-18,-1.62367298157603,0.091,0.911,6.1805479256295e-14
"RPS21",2.86227614248855e-18,-1.64710473861717,0.061,0.912,8.75885122362922e-14
"RPL23A",3.16131199581081e-18,-1.68479227172307,0.182,0.95,9.67393083838065e-14
"RPL6",4.73310115280278e-18,-1.58779594524743,0.242,0.944,1.44837628376918e-13
"RPL15",4.96348407732392e-18,-1.53602029954103,0.212,0.929,1.51887576250189e-13
"RPS9",5.19165972774569e-18,-1.62068455470115,0.121,0.933,1.58869979328746e-13
"RPL24",5.41501498683851e-18,-1.48271118569686,0.03,0.875,1.65704873612245e-13
"RPL3",6.51569007602074e-18,-1.67120135165861,0.182,0.954,1.99386632016311e-13
"RPL7A",1.46023157277789e-17,-1.51382411448951,0.121,0.911,4.46845463585763e-13
"RPL31",1.64037781107794e-17,-1.46824549762959,0.121,0.898,5.01972013967959e-13
"RPL29",3.40342844364043e-17,-1.46498532606227,0.061,0.869,1.04148313803841e-12
"RPL35",7.94849681115641e-17,-1.42504431476024,0.061,0.86,2.43231950918197e-12
"RPS26",8.14316688230168e-17,-1.50312477460867,0.182,0.896,2.49189049765314e-12
"UBA52",9.39345644052116e-17,-1.43931059690991,0.121,0.883,2.87449160536388e-12
"RPLP0",1.61951321758328e-16,-1.43463915718601,0.091,0.864,4.95587239712659e-12
"CD74",2.32785132612562e-16,-1.32471326371751,0.939,0.991,7.123457843077e-12
"RPL5",3.43021698115087e-16,-1.34659912247293,0.212,0.895,1.04968069840198e-11
"RPL36A",5.45361372994253e-16,-1.45501294737029,0.091,0.852,1.66886033749971e-11
"RPL7",5.52040605587236e-16,-1.41421961594708,0.121,0.864,1.6892994571575e-11
"RPL12",6.85825481174389e-16,-1.38639271233195,0.091,0.849,2.09869455494175e-11
"CYBA",8.47194874601755e-16,-1.376331810364,0.242,0.896,2.59250103576883e-11
"RPL22",1.35176619077425e-15,-1.2636420411643,0.061,0.823,4.13653972038829e-11
"NACA",1.55767540065538e-15,-1.30720706090256,0.121,0.852,4.76664249354554e-11
"EEF1G",2.11205685315329e-15,-1.27848115958634,0.03,0.802,6.4631051763344e-11
"ACTB",2.21130477270933e-15,-1.49201515744316,0.424,0.953,6.76681373496782e-11
"RPS5",2.90390091361265e-15,-1.26883026421593,0.061,0.815,8.88622718574607e-11
"TMSB4X",2.96662690517225e-15,-1.40195534745529,0.333,0.94,9.07817499251762e-11
"RPL10A",5.1119897608969e-15,-1.25675743191535,0.182,0.875,1.56431998673206e-10
"RPL38",5.2691934917219e-15,-1.26432418546402,0.121,0.839,1.61242590040182e-10
"RPL27",1.28917592181473e-14,-1.2516711182681,0.091,0.814,3.94500723834525e-10
"PTMA",1.48055439769784e-14,-1.31901106180726,0.364,0.934,4.53064451239517e-10
"RPL36",1.51073994566111e-14,-1.30174488668866,0.03,0.781,4.62301530771756e-10
"HLA-B",6.46228466383608e-14,-1.36879270749067,0.424,0.917,1.97752372998048e-09
"RACK1",7.5049384929755e-14,-1.17391121873539,0.061,0.793,2.29658622823543e-09
"MTRNR2L8",1.19112764327612e-13,0.876457217439846,0.545,0.118,3.64496970118926e-09
"PFN1",1.64537584662963e-13,-1.13982881091134,0.152,0.83,5.03501462827133e-09
"PPP1R14B",2.70160301227112e-13,-1.05460810773508,0.152,0.807,8.26717537785086e-09
"HLA-DRA",3.12568126790707e-13,-1.17549974019172,0.576,0.94,9.56489724792242e-09
"ITM2C",1.05306255878388e-12,-1.02880548523701,0.182,0.824,3.22247673613456e-08
"HLA-DPB1",1.06826549801178e-12,-1.11952874648427,0.152,0.792,3.26899925046586e-08
"RPL14",1.08134887103609e-12,-1.12420670113648,0.182,0.819,3.30903568025755e-08
"VCAN",1.52194477931026e-12,0.441797641880794,0.121,0.004,4.65730321916732e-08
"HIST1H1E",2.62893583999418e-12,0.686953437238102,0.455,0.088,8.0448065639662e-08
"TMSB10",2.79909218992156e-12,-1.10729078651439,0.364,0.883,8.56550201037896e-08
"IGKC",5.46233831427948e-12,-1.12532333822077,0.182,0.815,1.67153014755266e-07
"PLD4",1.01377980143034e-11,-1.02918770673636,0.303,0.899,3.10226757035699e-07
"GZMB",1.40088545860933e-11,-1.16811350583369,0.333,0.862,4.2868495918904e-07
"NPC2",1.61958740700806e-11,-1.01713340231642,0.182,0.775,4.95609942418536e-07
"AL034397.3",2.13693440209258e-11,0.335358062721799,0.273,0.033,6.53923296384351e-07
"CST3",2.40664262604901e-11,-1.09273636253738,0.394,0.873,7.36456709997258e-07
"RPL8",2.54764259227072e-11,-1.02432047600058,0.061,0.693,7.79604109660763e-07
"RPL4",3.41594184046725e-11,-0.977077929961369,0.121,0.729,1.04531236260138e-06
"EEF1B2",5.19855939947054e-11,-1.00927093429182,0.091,0.722,1.59081116183198e-06
"BCL11A",8.59620145294681e-11,1.00038093472817,0.97,0.954,2.63052360661625e-06
"ALOX5AP",8.66982332349419e-11,-1.01367798239186,0.242,0.782,2.65305263522246e-06
"RUNX2",9.01567668631563e-11,0.775320506058555,1,0.992,2.75888722277945e-06
"CEP128",1.88157934741556e-10,0.966812127115675,0.939,0.633,5.75782096102635e-06
"ATP5F1E",2.47067548982603e-10,-0.933454359520161,0.152,0.721,7.56051406641663e-06
"P2RY14",2.85042765308942e-10,1.13102230220852,0.879,0.657,8.72259366121892e-06
"UBC",3.19088505257443e-10,-0.9154787148606,0.091,0.676,9.76442734938302e-06
"TYROBP",3.71147724780529e-10,-0.929223002093742,0.061,0.651,1.1357491526009e-05
"LILRA4",4.51059526407666e-10,-0.868580245036953,0.121,0.692,1.3802872567601e-05
"MYL6",4.82084223714528e-10,-0.888220893024274,0.152,0.73,1.47522593298883e-05
"AC023590.1",5.82450324116908e-10,0.945493825099015,0.97,0.971,1.78235623683015e-05
"LINC01478",8.42022431584383e-10,0.970876183425871,1,0.921,2.57667284289137e-05
"EIF1",9.61764781153312e-10,-0.931333366720084,0.273,0.776,2.94309640680725e-05
"SERF2",1.00488305645168e-09,-0.830011363816223,0.152,0.72,3.07504264104778e-05
"DACH1",1.01853123776248e-09,1.10155471556383,1,0.872,3.11680744067695e-05
"DDX17",1.18590999827194e-09,0.728245263125094,1,0.817,3.62900318571198e-05
"OAZ1",1.21595716812816e-09,-0.806607934572968,0.03,0.6,3.72095053018899e-05
"CFL1",1.27103404841009e-09,-0.762354559084768,0.091,0.704,3.88949129153972e-05
"HLA-A",1.76231602919666e-09,-1.0205173640889,0.242,0.747,5.39286328094471e-05
"HINT1",1.7735624190714e-09,-0.843894303870848,0.091,0.649,5.42727835860039e-05
"BLNK",2.10993740104602e-09,0.97702859370768,0.909,0.657,6.45661944094093e-05
"AFF3",2.55147506538596e-09,0.642230970405557,1,0.995,7.80776884758758e-05
"H3F3A",3.45819237063098e-09,-0.853440415432125,0.424,0.841,0.000105824144733679
"RPS10",3.64953116595974e-09,-0.775854725883901,0.03,0.582,0.000111679303209534
"FLI1",3.75102103002051e-09,0.710601433661933,0.667,0.261,0.000114784994539658
"COX4I1",5.08115535410563e-09,-0.818923447775787,0,0.55,0.000155488434990986
"AUTS2",5.34566061442177e-09,0.813456243266858,1,0.933,0.000163582560461921
"MYL12A",5.58270505148196e-09,-0.817583026755,0.212,0.716,0.0001708363572804
"JCHAIN",6.67700674200049e-09,-0.865288403774915,0.394,0.839,0.000204323083311957
"PABPC1",9.89146577364093e-09,-0.774434973323802,0.727,0.948,0.000302688744139186
"TAGLN2",1.44426324778861e-08,-0.750047298376039,0.212,0.763,0.000441958996455791
"PPIA",1.45778191702321e-08,-0.768062890911202,0.212,0.702,0.000446095844428271
"EEF1D",1.58593950619808e-08,-0.758478586836856,0.03,0.577,0.000485313348291674
"MT-ND1",2.34797959973105e-08,-0.761847917923341,0.909,1,0.000718505237313698
"S100A6",2.35343997883413e-08,-0.770024407244488,0.061,0.579,0.000720176167923031
"MBNL1",3.03352741072786e-08,0.805090307520321,1,0.87,0.000928289722956831
"HLA-C",4.17853317252444e-08,-0.871191051127674,0.242,0.696,0.0012786729361242
"MT-CO3",4.83112353691509e-08,-0.674883847651483,0.939,1,0.00147837211353139
"GRN",5.08872621791346e-08,-0.764394242930757,0.212,0.683,0.0015572011099437
"SCN1A-AS1",6.3558082685254e-08,0.750757253018743,0.727,0.383,0.00194494088825146
"WDFY4",7.51001348420261e-08,0.600707197414709,1,0.896,0.00229813922630084
"ARHGAP15",8.63130098924278e-08,0.745112070796542,1,0.961,0.00264126441571818
"FTH1",9.49472156727435e-08,-0.772635620701026,0.212,0.702,0.00290547974680163
"H3F3B",9.59666746321582e-08,-0.763324971904538,0.545,0.894,0.00293667621041867
"FTL",1.29152620034553e-07,-0.689731061412991,0.03,0.516,0.00395219932567737
"SSR4",1.36984360014572e-07,-0.712672140905596,0.121,0.6,0.00419185840080593
"COMMD6",1.48987313056992e-07,-0.688592840414393,0.03,0.514,0.004559160766857
"PPIB",1.59330362487222e-07,-0.708320807219313,0.091,0.571,0.00487566842247147
"HLA-DRB1",1.62720217602257e-07,-0.748222505183239,0.273,0.717,0.00497940137884667
"RASA1",1.69204223413804e-07,0.756180034303889,0.636,0.282,0.00517781844068583
