gene	GLDS-100.16.female.Eye.ISS.37	GLDS-101.16.female.Muscle.ISS.37	GLDS-102.16.female.Kidney.ISS.37	GLDS-103.16.female.Muscle.ISS.37	GLDS-104.16.female.Muscle.ISS.37	GLDS-105.16.female.Muscle.ISS.37	GLDS-137.18.female.Liver.ISS.37	GLDS-161.16.female.Adrenal.ISS.37	GLDS-162.16.female.Eye.ISS.37	GLDS-163.16.female.Kidney.ISS.37	GLDS-168.16.female.Liver.ISS.37	GLDS-194.18.female.Eye.ISS.40	GLDS-238.9.male.Skin.Earth.30	GLDS-239.9.male.Skin.Earth.30	GLDS-240.30.female.Skin.Earth.30	GLDS-241.30.female.Skin.Earth.30	GLDS-242.10.male.Liver.Earth.33	GLDS-243.32.female.Skin.Earth.30	GLDS-243.32.female.Skin.ISS.60	GLDS-244.32.female.Thymus.Earth.30	GLDS-244.32.female.Thymus.ISS.60	GLDS-245.36.female.Liver.Earth.30	GLDS-245.36.female.Liver.ISS.60	GLDS-246.36.female.Spleen.Earth.30	GLDS-246.36.female.Spleen.ISS.60	GLDS-247.36.female.Colon.Earth.30	GLDS-247.36.female.Colon.ISS.60	GLDS-248.36.female.Lung.Earth.30	GLDS-248.36.female.Lung.ISS.60	GLDS-253.11.female.Kidney.ISS.25	GLDS-253.11.female.Kidney.ISS.75	GLDS-254.11.female.Skin.ISS.25	GLDS-254.11.female.Skin.ISS.75	GLDS-98.16.female.Adrenal.ISS.37	GLDS-99.16.female.Muscle.ISS.37
0610040B10Rik	-0.0319527508132404	-0.04790604794324274	0.20708609832865776	-0.4011591528781014	-0.47758065913368475	-0.15824181903951895	0.0759951800018698	-0.0695134128930118	0.21717547089829506	-0.17549096352177296	-0.004862707383455558	-0.15389739092581417	0.08310832344901087	0.4461727638946601	-0.34683945561311036	-0.164531816724285	-0.37837973420506327	-0.117383338815293	-0.2372820252484016	-0.2015461645091328	-0.30939563029175227	-0.08952244139771112	-0.25109948212772176	-0.06558220356923966	-0.4123823273758827	-0.013185870972165772	0.03112143639146219	0.06549514587509175	-0.40838396671193605	-0.1007896647384702	-0.5749504198838804	0.2177656327386805	0.17914585708148117	-0.15673267695223492	-0.3400902067059374
1110004F10Rik	0.03861578022819738	-0.020913101048789504	0.18429434984027618	-0.36089513398125206	0.0965988477452297	-0.003807955791592986	-0.010312326086769786	-0.08979407311953305	0.14246598077304798	-0.08707362360467967	-0.16426692132479515	-0.16642314151445486	-0.09423411684054608	-0.08884451970949558	-0.056729117075842876	0.10539505212703382	0.23649023307171146	-0.10008506900564712	-0.2068265750109591	-0.12983813455323345	-0.09200680802253687	-0.0486916393136474	-0.06020285189644302	-0.07781718957364632	0.23011270490985486	-0.003696885640641575	-0.037820827673605936	-0.07855428969146215	-0.06823922665883675	-0.09437594757698327	-0.14463069000401318	-0.001976534415412854	-0.3085433698451606	-0.06561153382107006	-0.1826841115132704
1110038B12Rik	-0.28321043421485864	-0.654275626222276	-0.47128333459107136	-0.43596730501704856	-0.3307844899803056	0.38315071067122064	0.2276476847573319	0.6026209463364395	0.3659860424251929	-0.5532074297706635	0.013865700269507498	-0.14799314129466598	-0.21973746667970664	-0.034372249397485705	0.14961821554400456	0.009127416406283327	-0.46483422096310245	-0.28748301415713634	-0.6444398015325447	-0.3079204109875455	-0.3768362916936454	0.1059837898488035	-0.41649005735122907	-0.3411285943886777	0.3577014939585775	-0.13134007326595182	0.2761951800385123	0.02716558125484457	-0.012958729514122575	-0.027693519891104707	-0.08295089582578302	-0.10969986179048626	-0.5063740229002245	0.670558836365077	-0.3119574465408507
1110059E24Rik	0.1274650675628906	0.024979190405604614	-0.19202032691328377	-0.11674940613273294	-0.11254790630334659	-0.296755783114406	-0.00688298421732699	0.09077449473935778	0.05618519839098812	-0.1203696260930596	-0.13271859735622954	-0.12717782522381038	-0.2880853462296219	-0.05229906047190939	-0.04410905309421321	0.18510938248620548	-0.193519937034725	-0.13489149506987178	-0.11839544424148432	-0.13737752803345082	0.2012379365595353	-0.3054345470301346	-0.3271897278114429	-0.03538663494030495	-0.19930261835292937	-0.01630718482623374	-0.005310386650180773	0.023475827135669775	-0.15397140871767143	-0.05474645387807595	-0.3892761979597444	0.16742117304742093	-0.22508075029084743	0.01366430509061088	-0.20306411591992207
1110059G10Rik	0.19786032343703777	-0.265048010806154	0.0439052932929162	0.15996047418039333	-0.09892326835627933	-0.3778172162496635	-0.025233919446045614	0.07318656061024617	0.07079174086873283	-0.1435061400517799	-0.015657888411826866	-0.16716169723056207	-0.0834599078469266	-0.13343118556187925	-0.15422083712227794	-0.01317834281881591	-0.19693878669864534	-0.009952361087244569	-0.2505318434793636	-0.27729354863593797	-0.1800657978662681	-0.21239492745279803	-0.19200439169052577	1.8578668240045002e-4	-0.10057189293832554	-0.07073100629388104	-0.11321844911243602	0.0050764949451365254	-0.18372827398625	-0.10750448544921733	-0.24243915700871088	0.08017698610165921	-0.1502687249942053	-0.05855118769661603	-0.16726627230546706
1500004A13Rik	0.4003546674888768	-0.04541857551372966	-0.20159178461755173	-0.28414493165214977	0.3428858371667331	-0.6755695893214433	0.1438519476184176	0.5059064317678411	0.08806810911837971	0.23124892473471703	0.1659059125295572	0.23055983331367422	0.6222421279958885	0.41972630891089663	-0.2556080444729691	-0.15715678756535914	-0.10965597714469602	0.28974233231852464	0.46128179650567064	0.23396232896695898	0.4260458979988868	0.1321799380694189	-0.1098986360047383	0.11119435481850698	-0.42883992402643056	0.04951926566190567	-0.004677890444063461	-0.04914805515828338	0.1998914689469661	0.21534509217705256	0.04967533225836392	0.4375385850647994	0.2954158763137245	0.32464497021409583	-0.6009516876537007
1500011B03Rik	0.12272550339988149	0.12107662023691707	-0.335980415176938	-0.20945468105002926	-0.13612264903938603	-0.03602863444336724	0.04936084735688037	0.13096692878890043	0.011269729384725272	-0.16131436027837434	-0.030354254762644913	-0.16690627309920608	-0.3119138058999689	-0.3399615676541846	-0.040087961116626894	0.04135472004453983	0.016136290244890092	-0.09500128571473555	-0.24443882159503452	-0.28444775436255093	-0.16305590175832682	0.02074707048797723	-0.16042542728750947	0.11138697296529165	0.2850523168446949	-0.11167866821233158	-0.20819124962044028	-0.02809867745832029	-0.11076803247587222	-0.09809356130473176	-0.30708933769017704	0.17876483046313096	-0.4738674465366717	-0.15659208772079	0.061695644804395045
1700003E16Rik	0.8017097030433958	-0.18504269352679215	NA	0.773854530864601	1.4446534364142636	-1.5249763799508975	0.8340971114190066	1.0556256724900857	-0.25525341854419387	0.16926535840350376	0.2722646491864138	-0.33512749976455797	0.220366409054482	-0.2721444942608018	NA	0.21855976978431899	0.8192380818033167	0.6437829483120308	0.21062936616841016	0.8429828216724238	1.5263154531833574	-0.08468122511769054	-0.23099166835542995	1.2025066686729786	NA	0.3028302883795142	-0.057436327234378075	-0.11010260562870793	0.39035318067611185	-0.06955407601335285	0.18947469098047257	-0.3927307089052566	0.242887441061647	1.3958127927163433	-0.46741743900440375
1700017B05Rik	-0.31488576814895947	0.3130177891396548	0.37655392092298906	0.5713807153696983	0.45070322982918193	0.2999021933563794	-0.08315399049423695	-0.8041532283835815	-0.04202744014706265	0.27575372090356726	0.47260116086422244	-0.22943697691352227	-0.08232762558740438	-0.16108052005631956	0.11333886699738092	0.09605466093389971	-0.3533790166828288	-0.20604476692847473	0.04921723831674192	0.3153338990666889	0.06893978269712862	0.18709129612466405	0.4187840707795496	-0.14209440624069006	0.3030298579552204	0.049350147185737415	0.04511325039875494	-0.032187452207448036	3.172746824208885e-4	0.036669785210722464	0.21091851215558405	-0.12113476811011639	0.1258873217305968	0.014608725732756185	0.880699645660872
1700097N02Rik	NA	NA	NA	NA	NA	NA	0.18167564947689518	NA	1.5882553679276026	NA	NA	NA	-1.5228506396954706	-0.5359416347270043	0.2135285535307315	-0.42879136680315844	NA	-0.15846616947904296	-1.5292182284887532	-0.8680250752297541	-1.3033176635486061	NA	NA	-0.19955394196706477	0.16782704162791404	-0.06515099086327664	0.14326302584832504	-0.18849623116837994	-0.9320445964896316	0.3240257280524625	-0.9061158820761241	-0.2438793798688492	-0.718981368067185	NA	NA
